# best iteration: (array([42]),)
6157.485352,694037.000000
19.067848,16.245672
18.176348,15.461096
16.945477,14.549305
14.888093,13.019489
14.649544,16.216166
12.434015,11.015509
14.609060,12.391715
11.348169,10.165045
11.910619,16.193108
9.763124,8.738522
9.879647,7.872980
6.067269,5.303304
3.537223,2.987755
2.426883,1.927427
1.972282,1.493334
3.335510,4.099469
1.666693,1.281357
5.481223,4.414747
2.180809,2.846916
1.252911,1.210586
1.173446,1.122833
1.298054,1.121924
1.125472,1.095380
1.567799,1.140747
1.106551,1.084800
1.101392,1.086159
1.099594,1.086592
2.506754,1.217143
1.133196,1.090733
23.717384,9.975189
1.171821,1.110033
1.270570,2.594012
1.093395,1.088195
1.142835,1.178897
1.273300,1.215755
3.325221,4.906390
1.492761,1.344164
30.398483,4.444244
10.041207,1.852724
1.086898,1.068443
1.081855,1.058825
1.083038,1.058281
1.081577,1.058935
1.081286,1.059199
1.081428,1.060233
1.082158,1.061282
1.089775,1.084503
43.980679,11.535481
1.080704,1.061114
