# best iteration: (array([40]),)
6623325.500000,2897876.000000
20.667240,17.498095
19.241291,16.221682
18.563320,15.672600
18.019566,15.250606
17.267769,14.671064
16.828741,14.299753
16.597162,14.134583
18.249212,149.816177
15.380761,13.246859
19.108212,17.281240
12.409109,11.077731
11.384597,10.216178
9.015736,8.191917
6.013815,6.814894
1.955289,1.519410
1.751350,1.347222
1.710514,1.315931
1.711725,1.347086
5.467267,6.771703
1.607277,1.289455
11.393111,2.727003
1.270486,1.250685
1.137259,1.118573
32.339180,49.424419
1.128681,1.108382
1.118882,1.105647
1.103633,1.100531
1.098976,1.100451
1.094977,1.096188
8.129245,4.276785
1.094509,1.098540
3.704461,3.196076
1.090120,1.091058
1.089714,1.091462
1.931377,1.110799
1.087788,1.087124
1.088538,1.089273
1.092098,1.146828
1.961139,2.818909
1.086803,1.084911
1.087411,1.086188
1.656161,8.410120
1.089517,1.090636
4.179076,1.184380
1.086639,1.088796
1.086665,1.091019
1.086845,1.093746
1.085346,1.089087
