# best iteration: (array([23]),)
133244.718750,192974.468750
17.759804,20.875849
17.551514,20.584412
16.095217,19.024630
14.385266,16.602715
13.834215,16.107931
12.443477,14.130409
11.137771,12.542774
10.296936,11.170351
8.091024,8.820818
176.613052,289.645386
3.589820,3.619631
15.762615,26.002344
2.209278,2.248938
1.949756,1.609349
100.411850,91.551720
1.452656,1.313804
1.565117,1.526660
13.205465,16.664762
1.126084,1.125188
1.136217,1.119591
1.107897,1.111548
1.544427,1.524507
1.100734,1.105911
