# best iteration: (array([31]),)
2455.187256,700578.750000
18.728106,22.473892
16.283949,19.497185
15.543728,18.381266
21.597357,81.013199
121.858688,147.603165
11.796059,13.525943
10.888291,12.465530
212.719727,85.354141
12.006346,13.796344
8.355691,9.369635
18.680613,9.591494
6.271313,6.929827
3.978157,4.209157
2.312955,2.205524
10.548801,2.361831
1.611520,1.359959
86.680275,120.556213
1.524553,1.332611
1.424824,1.280537
1.351385,1.248017
2.085582,1.623384
1.237335,1.190959
5.185216,12.119740
1.173247,1.152684
9.619295,2.339010
1.129545,1.130300
1.120631,1.128417
2.276806,1.285325
1.107070,1.120052
1.171336,1.156034
1.111119,1.115347
