# best iteration: (array([28]),)
206912.609375,473450.406250
18.777431,20.235966
18.581224,19.792292
16.697468,17.889708
15.262471,16.366516
13.939050,15.011130
12.428049,13.568449
11.705420,12.939808
11.220428,12.439715
10.964972,12.187714
10.992139,12.212588
10.183979,11.370344
9.079458,10.245322
6.690801,7.615884
10.903752,6.128329
3.005229,3.423293
2.596816,2.942358
2.310369,2.555913
2.007865,2.090735
1.729249,1.649265
1.686328,1.479655
2.959921,2.522525
1.321274,1.235142
50.569355,44.792805
1.328654,1.206915
1.271644,1.266991
1.123151,1.069947
16.451042,23.736399
1.109941,1.058555
