# best iteration: (array([26]),)
560350.812500,23293.271484
18.640638,20.140238
17.302809,18.599855
16.108406,17.183496
15.233046,16.234598
13.584099,14.666184
12.794736,14.038190
12.810738,13.929464
12.276606,13.481731
11.987954,13.214249
11.848600,13.077954
38.419540,28.829285
10.747797,11.981276
9.704299,10.909228
7.531710,8.641492
4.499595,5.322554
3.154138,3.797320
2.782489,3.319500
1.692947,1.531437
1.649126,1.478842
1.618463,1.450712
1.586836,1.434858
1.460052,1.347701
1.619053,1.968860
2.791981,1.709031
16.491579,24.711296
1.108307,1.086224
1.128014,1.089077
