# best iteration: (array([28]),)
48621.242188,172887.437500
18.238876,16.927732
2437.276123,1268.836548
16.599113,15.044832
15.411283,14.122515
14.504219,13.220972
12.982394,11.773746
12.137903,10.932138
11.185381,10.038217
10.170069,9.072479
277.183289,191.733459
5.847170,5.315980
3.284426,3.113070
2.105952,2.070110
3.320085,2.441035
1.780620,1.747013
1.742143,1.707485
3.533678,4.743720
1.702747,1.673704
1.691622,1.664262
1.683823,1.655512
1.732816,1.762747
8.799576,11.708039
5.965020,5.735056
25.168940,7.750461
2.069798,2.291740
1.665861,1.631105
1.804952,1.752281
1.663094,1.626434
1.749031,1.637498
