# best iteration: (array([29]),)
13170.098633,821474.687500
18.810980,17.337328
18.170597,16.678358
18.391819,16.875395
17.938921,16.476351
17.667461,16.165602
20.420792,18.993874
15.867157,14.410315
12.958851,11.697460
11.532258,10.265364
10.463100,9.296758
8.970669,7.849269
8.024728,7.040548
5.644629,4.978620
3.969445,3.614373
3.204280,3.007645
2.740779,2.626115
2.145013,2.117862
1.807746,1.822211
1.612658,1.662379
1.945908,1.677705
1.592494,1.774794
1.582867,1.659976
1.553868,1.607968
1.541905,1.593692
6.111455,2.210863
1.489623,1.531953
1.537840,1.506878
1.339139,1.589522
1.254448,1.311506
