# best iteration: (array([29]),)
3951798.750000,971153.000000
21.979195,20.688875
19.959049,18.429960
19.017441,17.411039
18.736977,17.073460
18.946114,17.307404
18.557980,16.886448
18.307596,16.639523
17.764244,16.145163
15.382909,13.915298
12.888432,11.513572
11.588303,10.233577
10.806904,9.558492
11.069811,9.637777
9.067433,7.977989
7.907379,6.953778
6.423818,5.706445
5.066846,4.554083
3.100995,2.956299
7.074768,13.020503
7.386045,11.129350
1.878547,1.794064
1.552249,1.602073
1.471587,1.524673
1.343088,1.540153
1.217658,1.259652
1.181858,1.217771
1.159505,1.190523
1.307969,6.447806
1.128881,1.154757
