# best iteration: (array([25]),)
54182.121094,694056.125000
19.884520,20.451117
17.440683,18.203753
18.072605,18.908346
18.197618,19.001759
18.006968,18.813175
18.671074,19.071255
17.953953,19.341110
16.916332,17.674107
15.819615,16.535357
13.033650,13.838803
11.098854,12.116998
9.652420,10.687873
7.051329,7.908643
4.876082,5.828449
2.196903,2.352212
1.701074,1.778959
1.597621,1.669071
2.706661,4.433524
2.643555,8.096203
1.456287,1.521706
56.953526,25.259012
1.352425,1.630903
1.100921,1.109251
1.628343,2.965377
1.077861,1.088282
1.888965,1.331182
8.105956,12.622083
1.083711,1.093839
1.279143,1.190638
