# best iteration: (array([29]),)
3712.135498,499349.156250
19.515936,18.510906
18.474707,17.444857
16.891659,15.598489
16.611250,15.253747
16.009119,14.613245
15.527349,14.071623
14.904293,13.424522
13.329980,11.772860
12.256015,10.674792
11.374988,9.769996
10.179434,8.674958
8.848238,7.660230
6.675641,5.697651
3.615092,3.673887
1.777185,1.729492
1.703741,1.659995
99.766785,23.683598
1.679606,1.639777
1.693623,1.694811
3.328656,4.177224
89.279762,68.958237
2.830674,1.712857
1.684890,1.621785
1.695570,2.220125
2.029719,2.090447
1.635556,1.599261
3.809215,11.345154
5.571923,6.708778
1.599450,1.552085
