# best iteration: (array([28]),)
4326056.500000,1127446.250000
21.150150,19.693880
19.330898,18.015907
18.946213,17.793995
18.670023,17.528704
18.458099,17.214840
23.108303,17.155672
18.048475,16.835960
16.883430,15.648685
14.768576,13.503497
12.721838,11.256785
12.148083,10.695131
12.766636,12.701820
11.043085,9.649738
9.674238,8.425293
5.468390,4.906742
2.265114,2.108443
1.724603,1.622840
1.649745,1.545136
2.946073,1.830897
1.641125,1.534692
1.621067,1.515217
1.620442,1.512453
1.603764,1.497321
1.999963,7.821386
1.118845,1.080756
1.131365,1.074143
3.383321,1.886854
1.075096,1.053386
1.075505,1.054937
