# best iteration: (array([27]),)
1574355.000000,183971.000000
19.576553,20.629967
18.856560,19.815531
18.114222,19.112837
18.154295,19.129494
18.237375,19.262871
18.165670,19.188234
17.938080,18.972235
17.531948,18.518543
17.111568,18.079323
17.965105,18.646914
13.182508,14.701884
10.968598,12.009185
8.171647,8.988925
4.314233,4.694801
3.527364,3.823047
3.292106,3.554593
1.670987,1.719339
1.589923,1.625444
1.542521,1.566630
1.264524,1.263722
1.183696,1.174188
1.135505,1.100144
1.091013,1.079514
1.088041,1.077119
1.087504,1.077616
22.841864,2.522589
1.084246,1.074612
2.313176,1.465103
1.709185,2.093491
