# best iteration: (array([14]),)
77.644005,97.743538
3.781615,4.087728
3.572736,3.854368
3.413022,3.703159
2.976284,3.255911
2.050048,2.250823
1.487663,1.521519
1.418572,1.391915
1.380609,1.333696
1.351059,1.299070
1.328681,1.272668
1.315645,1.252077
1.310030,1.241992
1.368771,1.340216
1.305709,1.237621
1.313669,1.242425
1.305127,1.242296
1.331917,1.280340
1.299883,1.255785
1.296657,1.248797
1.295085,1.251720
1.293814,1.254446
1.300292,1.275388
1.291893,1.257279
1.291170,1.259422
1.290443,1.259166
1.290702,1.253618
1.289088,1.260390
1.288518,1.261403
1.302084,1.300173
1.287744,1.261747
