# best iteration: (array([35]),)
258.714478,100.989044
9.489755,13.286364
6.162532,7.126572
5.267920,6.055538
4.507931,5.064256
4.160181,4.498488
4.162488,4.408426
4.241086,4.520039
3.739320,3.866060
3.743393,3.844169
3.770668,3.767027
3.547863,3.656489
3.338747,3.551204
3.101817,3.273868
2.243242,2.319776
1.552279,1.599022
1.411320,1.461176
1.384137,1.448604
1.375670,1.433752
1.356730,1.439806
1.429482,1.443968
1.633541,1.798883
1.323290,1.392888
1.313690,1.379238
1.302709,1.384327
1.329926,1.370984
1.269571,1.342705
1.255628,1.326536
1.241038,1.329195
1.225432,1.301353
1.405162,1.385988
1.305120,1.374213
1.191301,1.275483
1.184838,1.268788
1.179379,1.268282
1.176195,1.267538
1.174443,1.267824
1.173423,1.269196
1.172453,1.269841
1.171927,1.270381
