# Chi2_train, Chi2_test
312115.687500,1215.184448
7.320320,8.643888
5.884958,7.059586
5.691654,6.853940
5.698266,6.819887
5.551628,6.720411
5.581491,6.730185
5.465642,6.631719
5.442023,6.611942
5.297632,6.485053
6.264962,6.389087
4.994311,6.135862
18.533236,16.623037
4.688509,5.756413
4.389775,5.373265
3.097947,3.556351
1.531803,1.629613
1.394764,1.502970
1.363141,1.479140
1.352616,1.475104
48.002621,47.588017
1.307951,1.416396
1.282361,1.382827
1.241884,1.321393
1.240581,1.320711
1.278535,1.339669
1.542975,1.615710
1.277213,1.369303
4.219764,4.997058
1.125131,1.153142
5.721991,3.340206
3.966226,2.406401
1.123618,1.142819
1.123058,1.138618
1.767290,1.831479
1.143193,1.178012
12.891077,4.783288
1.349068,1.434971
1.229643,1.180628
1.284825,1.389969
