# Chi2_train, Chi2_test
5529976.500000,2265312.750000
22.470282,23.035286
19.267006,19.677628
18.434969,18.684820
17.834667,18.119608
17.281563,17.597023
25.059404,39.237499
16.980055,17.378494
15.831531,16.233374
14.834084,15.343537
13.639257,14.268831
12.305501,12.990558
11.439917,12.028975
10.204989,10.719750
7.457994,7.896109
5.483552,6.271689
1.649782,1.903075
1.605875,1.819552
1.584670,1.793143
1.574606,1.777002
1.574299,1.776865
1.604904,1.842171
1.566024,1.780116
1.545793,1.756726
1.769951,15.011666
1.520579,1.725780
1.624722,1.798002
1.431922,1.587817
1.326171,1.431066
1.176597,1.220860
1.145808,1.190909
1.094212,1.123268
1.088229,1.116437
4.572795,2.781558
1.080578,1.106034
1.889989,2.476336
1.078693,1.104985
1.091043,1.115766
43.179165,66.935371
1.101749,1.150041
