# Chi2_train, Chi2_test
59273.859375,129434.085938
6.557505,7.682929
6.438388,7.511075
6.282363,7.307168
6.101655,7.096597
5.928555,6.889939
5.583182,6.555856
5.263526,6.259935
5.108278,6.111977
4.978483,5.946846
4.849470,5.812827
4.381202,5.243033
11.514101,8.805389
2.714277,3.955108
1.351656,1.441539
1.347930,1.441435
3.296567,3.721677
1.348904,1.445786
1.343344,1.445963
1.330092,1.437575
1.321086,1.430490
1.310011,1.420748
2.386288,1.962140
1.296261,1.405661
5.671101,9.361944
1.261462,1.359703
1.549043,2.909628
3.401946,3.076562
1.302225,1.408281
7.790497,9.077683
1.100027,1.117607
1.100648,1.116814
1.085838,1.111423
1.082237,1.102808
1.099911,1.147649
1.077507,1.099564
1.395696,1.437967
1.075789,1.098419
11.807250,2.180017
1.077919,1.101439
