# best iteration: (array([28]),)
1303033.875000,730893.000000
10.159433,8.980195
9.044986,7.888167
8.118508,6.985936
7.140423,6.032720
6.373703,5.308692
7.042995,6.514705
6.230021,5.192815
6.204887,5.168840
44.956821,5.125414
5.972440,4.982344
5.848830,4.864114
6.478919,4.760273
4.582041,3.795255
4.153676,3.489456
90.681969,86.741165
3.792308,3.209609
3.795074,3.820036
3.303897,2.836552
2.961101,2.582951
2.562927,2.293224
2.160315,2.003607
1.434646,1.405071
1.754982,1.275691
1.074132,1.130277
1.048870,1.110658
1.038291,1.097702
1.554232,1.175649
1.033723,1.095134
1.033046,1.095735
1.032894,1.096927
1.031662,1.096439
1.393244,1.247801
1.054680,1.138216
1.030321,1.096653
