13244.733333	13083.433333	12060.566667	14583.666667	14306.300000	10532.373333	9358.913333	13249.033333	11751.266667	11564.200000	11406.066667	12351.800000	13324.666667	11511.866667	11818.733333
17356.200000	18971.200000	18016.350000	18188.950000	19985.150000	13076.650000	12782.550000	18674.900000	16541.600000	15977.300000	16127.650000	16577.350000	18447.350000	15747.450000	16021.550000
22342.250000	26007.450000	24253.150000	25006.400000	27213.750000	17481.700000	18016.866667	25680.900000	22244.550000	21290.400000	21746.700000	21852.950000	24910.600000	21270.850000	21343.450000
32982.650000	36121.550000	33530.450000	34568.400000	39702.450000	26445.250000	26858.150000	37523.750000	31281.800000	29082.900000	29409.150000	29467.800000	34254.500000	29836.800000	29905.600000
52054.950000	54059.900000	58978.400000	51646.300000	65004.700000	37593.500000	43579.266667	57440.400000	46715.550000	50312.666667	49106.566667	44259.500000	51991.250000	43093.100000	49285.133333
86730.100000	89714.750000	116112.600000	86110.500000	112631.050000	67979.633333	77654.250000	93619.350000	89027.233333	93046.050000	92834.350000	81494.033333	102570.333333	76539.400000	95841.400000
157333.500000	168125.000000	216517.500000	160944.000000	200901.000000	137238.500000	137532.000000	174480.000000	187522.000000	167575.000000	174066.000000	168213.000000	212755.000000	162661.500000	179666.500000
295976.000000	314613.500000	374913.000000	306423.500000	348306.000000	299527.666667	300236.000000	321716.500000	341483.500000	290939.000000	324087.500000	311923.500000	364915.000000	310812.500000	327712.000000
500831.000000	516134.000000	554667.000000	522974.500000	530037.500000	541431.000000	528868.000000	523893.000000	543038.000000	468515.000000	526235.500000	507954.500000	544682.000000	517823.000000	516312.000000
684545.500000	702475.333333	671921.333333	734816.000000	681626.000000	719535.333333	684929.000000	695316.000000	703295.500000	636914.500000	721241.666667	687655.500000	675426.000000	694151.500000	676267.500000
706176.333333	665181.000000	614962.500000	698693.500000	666706.666667	668832.000000	688712.666667	696287.666667	684749.666667	690845.333333	683967.000000	718817.000000	652894.333333	703975.333333	679459.666667
509547.000000	493258.000000	448160.500000	500672.000000	464351.500000	464102.000000	481065.000000	490341.500000	465696.000000	532161.500000	483720.500000	506351.000000	451180.000000	505379.500000	484272.500000
310643.500000	297629.500000	265160.000000	284704.500000	276996.000000	225955.666667	244784.333333	295595.000000	266729.500000	329480.500000	282913.000000	285722.500000	264873.500000	303815.000000	289789.500000
165336.500000	156862.000000	139614.500000	142195.500000	145014.500000	95897.000000	104207.150000	153602.500000	135762.000000	173282.000000	144064.500000	143711.500000	140579.500000	159042.500000	153780.500000
85339.550000	80784.200000	64298.133333	74691.050000	77396.750000	48231.033333	50598.500000	78128.900000	72486.450000	75605.133333	67345.366667	68153.566667	72014.500000	80527.150000	80067.000000
48782.600000	46290.600000	33537.050000	44054.000000	45520.200000	27797.650000	28226.050000	45288.400000	38543.666667	38211.450000	35641.950000	36486.750000	38190.566667	42785.100000	41698.433333
31222.200000	29855.200000	23335.700000	29220.400000	28734.350000	19853.150000	20193.650000	29347.550000	23932.500000	24684.650000	23759.100000	25626.500000	23669.750000	25992.150000	25712.450000
23415.950000	21033.050000	17830.300000	22035.850000	20454.400000	14211.833333	13937.100000	20602.900000	17416.500000	18768.650000	17219.750000	17925.950000	18085.450000	18686.600000	18089.200000
18593.400000	15459.000000	14098.350000	16274.300000	16022.450000	10494.350000	10305.325000	16706.200000	13323.100000	14440.050000	13722.200000	13241.100000	13837.650000	13821.850000	14439.200000
12900.866667	11741.233333	10634.416667	11877.333333	12191.100000	8519.370000	7903.923333	12356.166667	10193.416667	11689.100000	10516.993333	10125.256667	10574.546667	10600.166667	10609.636667
