# best iteration: (array([59]),)
338110.093750,42485.703125
33.500839,29.130877
32.584934,28.309818
31.615135,27.407669
29.658262,25.523348
26.522228,22.547327
25.383648,21.412170
24.988621,21.025486
24.450979,20.520283
200.861588,123.217155
22.027697,18.452761
18.842413,16.170712
16.196548,15.068776
14.630753,13.442963
12.790185,11.909112
3.694031,4.226682
3.159366,3.725151
2.981626,3.491776
2.507103,2.872810
2.281669,2.615877
6.198955,3.904203
2.096862,2.415111
2.020696,2.322145
1.931665,2.203559
1.814380,2.005535
1.740442,1.916486
2.237322,2.634645
1.702355,1.866242
1.688723,1.849629
1.674597,1.885161
1.609445,1.755202
1.441159,1.581086
1.244066,1.389967
1.206696,1.353552
1.192661,1.337919
2.180805,1.374112
1.184834,1.325357
1.176241,1.317553
1.178736,1.322290
1.171333,1.311167
1.694223,1.848050
1.168070,1.307873
1.166214,1.305503
1.170307,1.319435
1.163746,1.302884
1.164364,1.304451
3.372511,1.446882
1.161213,1.300231
1.160359,1.299098
1.160222,1.299975
1.159324,1.297890
1.231332,2.615766
1.158350,1.296664
1.203428,1.320749
1.157713,1.296101
1.387070,1.647418
1.156522,1.294725
1.154580,1.292842
1.146748,1.284314
1.140308,1.272888
