# best iteration: (array([48]),)
92792.796875,2913.348633
32.922703,39.745377
32.318687,39.112377
31.643961,38.600311
31.185160,38.069534
30.440189,37.131271
29.524952,36.028370
28.042431,34.585381
25.265051,31.903400
23.042454,30.560568
21.209562,30.271509
18.198217,29.317429
11.177356,23.730305
4.751626,9.050838
3.510306,6.707779
3.077693,5.879601
2.830820,5.560815
2.716113,5.435571
9.909821,10.097946
2.589114,5.373283
2.534842,5.222121
2.510753,5.240245
2.429555,5.053251
8.091298,6.111750
2.436648,5.099533
2.314672,4.923117
2.271818,4.900847
2.235466,4.884426
2.225531,4.859466
2.201583,4.849776
8.427543,12.683990
2.195849,4.823982
2.185215,4.820509
2.182504,4.811060
2.180556,4.801783
13.605257,19.751865
2.169837,4.793865
2.159298,4.778602
2.153111,4.761374
2.148579,4.738791
2.144071,4.718107
2.139710,4.689641
2.134387,4.661996
2.128991,4.622743
2.289579,5.020591
2.116822,4.534465
4.154957,5.437896
2.112879,4.409008
2.111620,4.315987
2.529119,4.421433
