# Chi2_train, Chi2_test
9434.627930,8679.690430
29.355026,35.773762
29.040936,35.423115
27.882336,34.121761
23.121481,28.655577
21.147869,26.114399
20.761747,25.424084
20.054197,24.494400
19.078665,23.293850
17.313906,20.785126
14.947180,17.886824
12.911125,15.331928
11.200042,13.632513
9.171746,11.926958
6.934721,10.266371
4.557470,8.653579
2.915403,7.831589
2.007140,7.657306
1.837485,8.523788
1.570360,8.128508
1.723929,8.569111
1.371881,8.198886
1.348979,8.191592
1.338045,8.179966
1.317427,8.191005
1.302569,8.180494
1.302344,8.168344
1.410547,8.348593
1.272110,8.171576
2.590088,10.145606
