# Chi2_train, Chi2_test
12388.143555,12856.704102
29.439941,32.986988
28.784019,32.249687
27.463757,30.765465
23.848450,26.679050
20.091160,22.128136
18.885611,20.177418
17.269941,17.888521
13.983035,13.778879
11.630880,11.087669
10.139675,9.640497
7.998100,8.011063
4.970172,6.023934
2.844153,5.038074
1.791066,4.862979
1.463948,5.023904
1.343847,5.159754
1.271339,5.210291
1.250931,5.229704
1.241764,5.236276
1.234908,5.231863
1.234728,5.230599
1.232061,5.265779
1.218994,5.218287
1.350380,5.270873
