# Chi2_train, Chi2_test
3635.890869,2971.580322
28.249214,35.018883
23.591085,30.010784
22.633583,28.791565
22.250641,28.379934
21.692337,27.823290
20.921007,27.085426
19.809668,26.012177
17.088606,23.165073
14.119882,19.924931
12.259272,18.002472
9.791348,15.645171
6.535726,12.661223
3.738718,10.337461
2.139149,8.962836
1.445344,8.460686
1.232786,8.329809
1.306398,8.412276
1.101504,8.195491
1.127704,8.201359
1.379586,8.351109
1.572215,8.993893
1.377401,8.588596
1.146824,8.182856
1.498095,8.798493
