# Chi2_train, Chi2_test
78.481972,66.163109
7.912160,9.554893
1.269831,2.416284
1.160185,2.241664
1.151922,2.230260
1.145608,2.222048
1.141275,2.217715
1.129573,2.204825
1.117679,2.215908
1.109146,2.186846
1.100448,2.183020
1.100098,2.182582
1.101545,2.194615
1.099549,2.181967
1.099345,2.181902
1.099200,2.181594
1.099079,2.181513
1.101998,2.183499
1.098899,2.181719
1.098813,2.180843
