# best iteration: (array([45]),)
2824416.000000,801295.250000
17.418901,16.501925
16.163046,15.170435
15.063257,13.985353
14.120989,12.961031
17.279898,16.598125
13.717237,12.476735
13.124304,11.842162
14.144320,13.973925
12.615861,11.348284
12.429725,11.175217
12.146584,10.889201
204.259369,189.391190
9.961352,8.808677
8.953494,7.946280
10.554086,7.335621
8.443922,9.324439
4.044748,3.660397
3.453079,3.874721
2.064301,1.818124
1.857191,1.530145
3.505457,6.286429
1.828014,1.516339
2.609001,2.469000
3.011430,3.085012
1.749128,1.446335
2.001688,1.770027
1.728523,1.405237
1.723179,1.401195
28.898699,13.695854
1.716160,1.394644
1.713436,1.394268
1.712013,1.389797
1.708373,1.386848
19.237360,9.044520
1.706089,1.395024
1.702225,1.380500
1.792189,1.426193
4.862221,19.736473
1.697181,1.382105
1.697059,1.380959
1.695493,1.380401
1.703096,1.384665
2.057207,1.407686
1.692270,1.380829
1.692141,1.379860
1.692285,1.380117
1.698456,1.386040
3.165152,4.119806
10.731130,17.535299
