# best iteration: (array([11]),)
173.099655,71.385063
4.483218,4.980596
3.693255,3.971135
3.576125,3.827140
3.428649,3.656490
2.790326,3.234566
1.430210,1.492361
1.342403,1.425911
1.283080,1.394836
1.256771,1.393928
1.246065,1.401685
1.252911,1.393397
1.235584,1.413155
1.260398,1.475010
1.383845,1.493618
1.220527,1.429708
1.338785,1.582416
1.214384,1.439765
1.212246,1.443620
1.250158,1.573317
1.209169,1.458855
1.207530,1.462659
1.522201,1.764147
1.212255,1.479606
1.203793,1.464857
1.203616,1.471088
