# best iteration: (array([17]),)
475.844482,260.767517
4.159293,4.646921
3.139719,3.471491
1.384450,1.545776
1.325287,1.512851
1.327780,1.514316
1.300485,1.517246
1.303328,1.536960
1.386839,1.556309
1.368861,1.510201
1.289212,1.517829
1.288344,1.479553
1.285568,1.504066
1.389596,1.525550
1.278123,1.510557
1.275106,1.506072
1.272288,1.500459
1.273308,1.469955
1.263145,1.488531
1.258462,1.480727
1.254858,1.522287
1.331074,1.479056
1.248463,1.470876
1.244747,1.481997
1.241852,1.488832
1.238401,1.489219
1.318019,1.483432
1.223123,1.502041
1.217884,1.498564
1.210109,1.507133
1.203129,1.501287
1.195526,1.501483
1.189206,1.502068
1.185329,1.509054
1.181105,1.510710
1.180546,1.494709
1.196574,1.490244
1.206022,1.685605
