# best iteration: (array([39]),)
3685710.500000,899256.625000
20.602036,21.390242
18.976042,19.792273
18.006145,18.930670
17.341990,18.479034
17.687216,18.751026
17.804543,18.901752
17.687696,18.840176
17.523846,18.660831
17.688389,18.655909
17.000099,18.175936
16.621105,17.774118
13.476892,14.363837
12.300461,13.327632
68.068382,43.749691
8.439205,9.555299
6.426608,7.431969
4.851953,5.729203
4.165898,5.033829
3.629646,4.364906
3.387598,4.074388
3.275036,3.945474
3.240992,3.904769
3.127321,3.756713
3.397220,3.863933
2.868980,3.379458
2.587376,2.936702
8.331276,8.098679
2.031731,2.026302
93.414169,56.951481
1.756023,1.630452
1.852205,1.834528
1.719031,1.542904
1.666837,1.495208
1.650271,1.471906
28.187670,16.713169
1.622639,1.445262
1.607752,1.433998
1.607459,1.435944
1.577902,1.414873
