# best iteration: (array([25]),)
1669889.000000,244003.937500
18.581846,19.729176
18.160666,19.433260
17.920317,19.214170
17.581198,18.909193
17.421755,18.747311
44.893013,67.072067
15.957187,17.460047
14.772151,16.270138
13.399247,14.798913
11.944378,13.298701
11.023787,12.466359
9.795184,11.191601
7.069413,8.345402
3.448679,4.056599
2.652662,3.035990
2.369269,2.618791
2.423038,1.857691
1.656249,1.484001
1.667136,1.550294
1.692636,1.458822
28.842642,14.181203
5.696291,5.548194
2.722804,2.303871
1.225138,1.475074
1.112898,1.108572
1.128109,1.127908
