# best iteration: (array([28]),)
950452.437500,1137.020508
17.919767,18.892529
17.185867,18.196396
18.253456,19.265528
17.152439,18.287022
15.897200,16.913029
13.657888,14.786353
12.932922,14.176792
14.408857,14.027061
11.130648,12.436099
9.599415,10.941521
8.189074,9.433936
10.622799,14.324449
5.936429,6.993643
84.571426,33.549858
5.144140,6.072854
5.237293,6.131201
4.038522,4.775240
8.239869,5.247889
3.458160,4.128151
3.260072,3.929257
3.221109,3.889087
3.162988,3.807887
3.080158,3.690202
10.422358,8.647072
1.919721,1.829418
6.487357,3.068529
1.716536,1.509839
1.708086,1.500062
1.708586,1.514635
