# best iteration: (array([32]),)
2396115.500000,394001.000000
22.173176,23.315895
18.288918,19.283180
17.515455,18.577606
15.973688,17.049507
15.921616,17.209986
15.735457,16.855257
14.050724,15.158028
16.232801,15.577476
12.755089,13.914364
12.421607,13.700321
11.920017,13.247361
11.278090,12.632326
10.622409,11.984188
9.899840,11.142406
28.258659,27.413315
6.114963,7.212248
2.259445,2.393195
1.743535,1.615371
1.708906,1.568978
1.697048,1.547816
1.686156,1.529582
1.677592,1.516599
1.670119,1.510580
1.663953,1.510581
1.652088,1.498342
1.640730,1.488547
1.705647,1.606764
1.603263,1.449802
1.560397,1.408424
1.759860,1.891222
5.869182,9.871844
1.118198,1.116660
1.639691,1.752621
