# Training inputs, Training outputs, Predictions
0.766452,2.646020,1.638563
0.772409,1.308002,1.590048
0.793342,2.628615,1.427783
0.804960,0.584377,1.344008
0.833828,1.099788,1.158223
0.833828,1.158394,1.158223
0.837799,1.243692,1.135337
0.841789,0.803426,1.113025
0.847207,1.518456,1.083826
0.847207,0.964228,1.083826
0.858315,1.201662,1.027966
0.863232,1.101520,1.004983
0.873794,1.169551,0.959261
0.875396,0.866802,0.952762
0.884673,1.761694,0.917391
0.886582,1.193646,0.910593
0.899641,0.678969,0.868467
0.921600,0.608558,0.814800
0.925990,0.850346,0.806636
0.927158,0.781664,0.804606
0.927961,0.786806,0.803244
0.927961,0.798529,0.803244
0.930401,0.780683,0.799284
0.931249,0.600510,0.797969
0.948657,0.964527,0.777886
0.954055,0.689689,0.774325
0.965737,0.762209,0.770897
0.978000,1.043704,0.773554
0.994322,0.672061,0.786946
