# Chi2_train, Chi2_test
14.897642,2042.527466
4.610865,8.670147
2.561228,5.170351
2.070508,8.363914
1.554433,2.989510
1.328775,2.174973
2.246016,3.662613
1.117390,1.511202
1.106974,1.478764
1.108852,3.488417
