# Chi2_train, Chi2_test
21535.251953,14558.747070
3.003662,6.577753
2.527462,5.424774
2.186253,4.733550
1.639301,3.129387
1.074902,1.357828
1.057803,1.319956
1.054251,1.318656
1.052001,1.329212
1.051613,1.334062
