# Chi2_train, Chi2_test
66626.546875,58063.390625
2.749644,5.611663
2.310072,4.850672
1.735420,3.356542
1.318602,1.946713
1.219515,1.647668
1.142521,1.456797
1.067997,1.318193
1.065500,1.325766
1.033489,1.296827
