# Chi2_train, Chi2_test
26933.947266,19261.468750
3.406281,5.867935
3.239311,5.680658
2.631961,4.860104
1.234599,1.342145
2.881290,4.162099
1.113993,1.202811
1.111360,1.211983
1.108756,1.201417
