# Chi2_train, Chi2_test
147328.359375,73422.554688
7.249882,8.340704
8.784230,9.037880
6.754106,7.733624
26.708593,41.608086
6.039589,6.911398
12.896776,211.545517
5.246960,6.116776
5.210654,6.065698
4.955657,5.827940
7.073947,12.288510
4.441350,5.270401
3.031024,3.511115
1.557418,1.599805
3.234969,8.208335
1.315498,1.295295
1.310444,1.276718
30.083685,14.427405
1.213572,1.184489
1.170553,1.135231
1.179715,1.120907
1.152729,1.097067
1.135713,1.089317
1.129377,1.079112
1.126212,1.073717
1.128406,1.110291
1.710056,1.257622
7.749328,11.018195
1.110986,1.059823
2.698680,1.775684
1.448521,1.133611
1.121827,1.090570
1.103038,1.058743
3.085842,1.443368
1.103163,1.059431
1.101694,1.058167
1.101184,1.058707
1.102559,1.061382
1.102704,1.079705
8.760890,8.668908
