# Chi2_train, Chi2_test
1843.817627,266545.843750
6.095007,7.078194
5.506306,6.352651
6.751893,8.074411
6.192231,7.469362
5.852702,7.076691
5.765313,7.075004
5.302990,6.370748
5.154428,6.161857
5.094789,6.076531
5.937072,7.406662
4.990482,5.972197
4.880309,5.861979
16.358995,11.864282
4.684869,5.660411
4.363880,5.257900
3.272502,3.914181
2.728047,3.247572
2.657708,3.187844
2.644977,3.180412
2.640355,3.177010
2.638073,3.172761
31.733875,19.088112
47.836346,51.563248
2.622476,3.160815
2.672370,3.150398
32.360916,43.335941
2.555693,3.118607
2.548512,3.111995
2.532671,3.103336
5.328994,7.812572
2.517360,3.090715
2.508147,3.085702
4.299153,3.200041
2.496888,3.076529
2.496468,3.073612
2.490727,3.067935
2.489495,3.071869
2.485067,3.062250
2.567791,3.699953
