# Chi2_train, Chi2_test
173031.468750,8224.021484
5.896164,6.860257
5.729653,6.739543
5.647267,6.658854
5.454239,6.424453
5.277758,6.206394
5.234899,6.165968
5.140062,6.099062
5.052263,6.038920
4.955917,5.915942
4.876221,5.798836
4.686198,5.529122
4.172360,4.826759
3.169178,3.490008
1.503224,1.581416
1.435433,1.543645
1.777752,2.049583
1.444605,1.524634
1.379161,1.497665
1.325852,1.445409
1.300815,1.422826
1.285893,1.411263
1.332701,1.406437
1.363449,1.632215
3.724612,3.112864
1.387556,1.512131
1.287252,1.405716
1.261005,1.383494
1.480528,1.848387
1.203116,1.296980
1.093251,1.161017
1.410223,1.150816
1.137668,1.145633
1.070996,1.134986
1.070955,1.133479
1.069479,1.133738
1.068890,1.133798
1.068338,1.133764
1.068328,1.134286
2.580545,1.598457
