,0,1,time,energy
0,-0.9543668212890625,103.075,100,200
1,-0.9497004638671875,15.2767,100,200
2,-0.9450341064453125,40.9208,100,200
3,-0.9403677490234374,9.64727,100,200
4,-0.9357013916015625,-40.1298,100,200
5,-0.9310350341796875,90.4304,100,200
6,-0.9263686767578125,-9.33096,100,200
7,-0.9217023193359375,29.3472,100,200
8,-0.9170359619140624,-59.8811,100,200
9,-0.9123696044921875,-137.821,100,200
10,-0.9077032470703125,26.9235,100,200
11,-0.9030368896484375,95.5094,100,200
12,-0.8983705322265625,20.4946,100,200
13,-0.8937041748046874,62.5875,100,200
14,-0.8890378173828125,-61.53,100,200
15,-0.8843714599609375,-42.1533,100,200
16,-0.8797051025390625,79.7634,100,200
17,-0.8750387451171875,-28.637,100,200
18,-0.8703723876953124,67.723,100,200
19,-0.8657060302734375,-79.6171,100,200
20,-0.8610396728515625,9.67689,100,200
21,-0.8563733154296875,3.00651,100,200
22,-0.8517069580078125,-14.589,100,200
23,-0.8470406005859374,-7.38844,100,200
24,-0.8423742431640625,-90.4246,100,200
25,-0.8377078857421875,-29.8111,100,200
26,-0.8330415283203125,93.402,100,200
27,-0.8283751708984375,-35.7729,100,200
28,-0.8237088134765624,74.123,100,200
29,-0.8190424560546875,48.2078,100,200
30,-0.8143760986328126,14.5073,100,200
31,-0.8097097412109375,96.2588,100,200
32,-0.8050433837890625,-98.2692,100,200
33,-0.8003770263671874,82.0366,100,200
34,-0.7957106689453125,-49.4902,100,200
35,-0.7910443115234376,49.6119,100,200
36,-0.7863779541015625,100.964,100,200
37,-0.7817115966796875,99.2709,100,200
38,-0.7770452392578125,-15.2643,100,200
39,-0.7723788818359375,-3.76929,100,200
40,-0.7677125244140626,159.059,100,200
41,-0.7630461669921875,107.524,100,200
42,-0.7583798095703125,-39.2952,100,200
43,-0.7537134521484375,14.6754,100,200
44,-0.7490470947265625,30.9239,100,200
45,-0.7443807373046876,-3.47396,100,200
46,-0.7397143798828125,4.75741,100,200
47,-0.7350480224609375,-45.5741,100,200
48,-0.7303816650390625,59.9152,100,200
49,-0.7257153076171875,91.9111,100,200
50,-0.7210489501953126,-43.3565,100,200
51,-0.7163825927734375,132.649,100,200
52,-0.7117162353515625,-24.4959,100,200
53,-0.7070498779296875,104.338,100,200
54,-0.7023835205078125,108.932,100,200
55,-0.6977171630859376,110.932,100,200
56,-0.6930508056640625,71.6417,100,200
57,-0.6883844482421875,82.7297,100,200
58,-0.6837180908203125,90.9782,100,200
59,-0.6790517333984375,82.8953,100,200
60,-0.6743853759765626,-16.7279,100,200
61,-0.6697190185546875,161.408,100,200
62,-0.6650526611328125,41.0847,100,200
63,-0.6603863037109375,75.6019,100,200
64,-0.6557199462890625,42.2364,100,200
65,-0.6510535888671876,88.5228,100,200
66,-0.6463872314453125,108.762,100,200
67,-0.6417208740234375,45.5198,100,200
68,-0.6370545166015625,66.1098,100,200
69,-0.6323881591796875,116.715,100,200
70,-0.6277218017578126,98.5051,100,200
71,-0.6230554443359375,70.6714,100,200
72,-0.6183890869140625,108.259,100,200
73,-0.6137227294921875,126.157,100,200
