,x,y,time,energy
0,-0.1087927978515625,-54.8758,10,200
1,-0.1083783935546875,44.9927,10,200
2,-0.1079639892578125,-0.261352,10,200
3,-0.1075495849609375,-27.0983,10,200
4,-0.1071351806640625,54.4092,10,200
5,-0.1067207763671875,-4.47337,10,200
6,-0.1063063720703125,53.1733,10,200
7,-0.1058919677734375,-69.3644,10,200
8,-0.1054775634765625,-78.3233,10,200
9,-0.1050631591796875,78.2758,10,200
10,-0.1046487548828125,63.2853,10,200
11,-0.1042343505859375,27.505,10,200
12,-0.10381994628906249,-70.0518,10,200
13,-0.1034055419921875,93.9263,10,200
14,-0.1029911376953125,200.2,10,200
15,-0.1025767333984375,-35.3009,10,200
16,-0.1021623291015625,9.61698,10,200
17,-0.1017479248046875,-190.424,10,200
18,-0.1013335205078125,20.0908,10,200
19,-0.10091911621093749,-18.1535,10,200
20,-0.1005047119140625,-99.6734,10,200
21,-0.1000903076171875,-28.3502,10,200
22,-0.0996759033203125,8.26785,10,200
23,-0.0992614990234375,-21.6168,10,200
24,-0.0988470947265625,49.1598,10,200
25,-0.0984326904296875,-104.686,10,200
26,-0.0980182861328125,14.8734,10,200
27,-0.0976038818359375,10.1991,10,200
28,-0.0971894775390625,-41.0995,10,200
29,-0.0967750732421875,-14.1619,10,200
30,-0.0963606689453125,-204.622,10,200
31,-0.0959462646484375,-9.83482,10,200
32,-0.0955318603515625,-26.6089,10,200
33,-0.0951174560546875,-80.6656,10,200
34,-0.0947030517578125,3.16207,10,200
35,-0.0942886474609375,30.0522,10,200
36,-0.0938742431640625,101.233,10,200
37,-0.0934598388671875,-97.6538,10,200
38,-0.0930454345703125,-66.1791,10,200
39,-0.0926310302734375,24.4166,10,200
40,-0.0922166259765625,12.8385,10,200
41,-0.0918022216796875,43.1628,10,200
42,-0.0913878173828125,-33.4165,10,200
43,-0.0909734130859375,-39.9635,10,200
44,-0.0905590087890625,20.8276,10,200
45,-0.0901446044921875,-100.467,10,200
46,-0.0897302001953125,-104.193,10,200
47,-0.0893157958984375,-64.8007,10,200
48,-0.0889013916015625,126.082,10,200
49,-0.0884869873046875,-2.26298,10,200
50,-0.0880725830078125,-53.7067,10,200
51,-0.0876581787109375,-56.7774,10,200
52,-0.0872437744140625,-7.20722,10,200
53,-0.0868293701171875,2.90086,10,200
54,-0.0864149658203125,-150.286,10,200
55,-0.08600056152343749,-21.4466,10,200
56,-0.0855861572265625,-71.5389,10,200
57,-0.0851717529296875,-89.3705,10,200
58,-0.08475734863281251,71.4812,10,200
59,-0.0843429443359375,-44.5464,10,200
60,-0.0839285400390625,26.7637,10,200
61,-0.0835141357421875,-35.7161,10,200
62,-0.08309973144531249,-5.71268,10,200
63,-0.0826853271484375,-120.566,10,200
64,-0.0822709228515625,4.34445,10,200
65,-0.08185651855468751,-30.6907,10,200
66,-0.0814421142578125,76.6899,10,200
67,-0.0810277099609375,73.2265,10,200
68,-0.0806133056640625,-63.2095,10,200
69,-0.08019890136718749,-34.8756,10,200
70,-0.0797844970703125,11.1301,10,200
71,-0.0793700927734375,-85.0964,10,200
72,-0.07895568847656251,-2.94935,10,200
