# Chi2_train, Chi2_test
124961.289062,135868.250000
29.618263,34.266075
29.487799,34.248619
29.468342,34.228214
29.426733,34.182941
29.319042,34.065529
28.895367,33.601044
25.905279,30.274094
20.373676,23.967398
19.655851,22.976894
18.316164,21.106970
15.477852,17.186354
12.151727,13.074001
9.152280,10.111853
6.494201,8.007472
4.234639,6.592987
2.672393,5.738779
1.906059,5.603467
1.580029,5.725784
1.453082,5.891845
1.425757,5.963810
1.376729,6.039640
1.523467,6.007606
1.373744,6.054308
1.325405,6.048139
