# Chi2_train, Chi2_test
5616.494141,4807.895996
33.508408,44.246716
33.164612,43.891941
32.119312,42.811401
26.884481,37.278648
23.184372,32.919250
22.628363,32.370556
23.179331,32.822430
21.262157,30.894064
20.239487,29.763206
19.334509,28.723846
18.534681,27.812639
17.625660,26.795649
16.379414,25.451118
14.816050,23.830351
13.301696,22.490671
11.368982,20.031832
9.147656,18.519745
6.752877,15.966060
5.383799,14.748665
3.766243,13.099504
2.366399,11.972433
3.469833,13.683419
1.839282,11.863046
1.684108,11.568193
