# Chi2_train, Chi2_test
21753.917969,28816.378906
13.124267,37.618629
12.894159,34.272629
12.882587,34.021755
12.880535,33.974464
12.879040,33.945221
12.877581,33.920033
12.876040,33.894768
12.874418,33.870167
12.873859,33.481899
12.870557,33.535866
13.131224,28.834248
12.855307,33.551216
12.844460,33.375313
12.834071,34.031303
12.811825,33.175350
12.763403,32.851852
12.989928,29.473778
12.703846,30.289762
12.607337,32.146767
12.560462,32.273376
12.533689,32.215366
12.518073,32.195652
12.507822,32.176216
12.499791,32.145432
12.492572,32.138931
12.485394,32.123131
12.492332,28.877552
12.470231,32.101021
12.467112,31.274120
12.522972,31.879213
12.454775,32.300510
12.430558,31.977091
12.414277,31.994312
12.391369,31.817266
12.358080,31.446648
12.350433,31.610567
12.190383,31.575813
11.994993,31.321434
11.601869,30.815117
10.701343,29.705948
9.034514,28.061485
6.816038,25.971106
4.678416,24.634684
3.232557,28.709114
2.106484,23.717747
1.687987,22.717493
1.276469,22.460682
1.154444,22.482336
1.101944,22.509264
