# Chi2_train, Chi2_test
12696.080078,13172.653320
29.861521,37.646381
29.662504,37.338863
29.613829,37.256672
29.504999,37.135925
28.991791,36.572254
23.664249,30.663570
17.554445,22.774357
14.038018,18.237143
9.239613,13.311057
4.118757,9.605700
1.833169,8.902166
1.275982,9.205354
1.154217,9.438942
1.128871,9.551325
1.108723,9.593306
1.103630,9.605381
1.101562,9.606106
1.300382,9.621621
1.099659,9.606851
1.098238,9.613397
1.097419,9.615405
1.143497,9.754417
1.095891,9.617630
1.095300,9.617425
1.157353,9.656957
1.093998,9.619038
1.093431,9.619878
1.093633,9.615374
1.092376,9.621145
