# Chi2_train, Chi2_test
89269.648438,112770.929688
10.800750,32.753632
10.794366,33.039642
10.789417,33.217934
10.777735,33.208389
10.746315,32.792694
10.729474,32.234489
10.720912,32.136375
10.664104,31.999468
10.401358,31.422997
9.574275,29.319506
7.866441,32.805573
5.729547,25.904537
3.752034,23.408339
2.330066,22.318340
1.564087,22.848457
1.301936,20.533787
1.090240,22.616966
1.027868,22.628504
0.996680,22.616278
1.301931,30.234936
0.978584,23.094707
0.976609,22.621126
0.998660,22.426556
0.975687,22.583422
0.999886,22.877640
0.975510,22.848131
0.974896,22.569235
0.974700,22.578213
0.974520,22.587694
0.980317,23.423607
2.116096,33.154335
0.974092,22.565548
0.994383,24.201172
2.266360,13.235902
0.996285,23.759516
0.973711,22.584841
0.990355,26.503616
0.973669,22.458979
0.993210,19.419483
1.015289,23.232651
0.973978,22.312332
0.976506,23.175838
0.973275,22.571655
0.973251,22.497070
0.975255,21.794519
0.993260,24.222277
0.973099,22.564600
0.973052,22.569145
0.993424,21.901108
