# Chi2_train, Chi2_test
32673.810547,30977.667969
31.254822,40.399868
28.796404,37.844841
25.094315,33.924561
23.155924,31.688292
22.896357,31.288960
22.682331,31.027777
22.283817,30.604557
21.513708,29.805540
20.204559,28.473091
18.066538,26.243429
15.738921,23.714808
14.332905,22.155252
13.094048,20.865404
11.549212,19.336296
9.582593,17.496990
7.444860,15.530563
5.533732,13.878504
3.959262,12.535332
2.639677,11.345180
1.999089,10.717405
1.615624,10.466632
1.468974,10.449269
1.423089,10.433509
1.519087,10.397526
