# Chi2_train, Chi2_test
64.463577,133.371460
57.984230,121.930214
52.464458,111.706367
47.250092,101.326576
43.266453,92.360596
40.970757,85.944740
40.064251,82.253510
39.829914,80.563103
39.764339,79.942780
39.710915,79.718224
39.642998,79.570732
39.550652,79.394157
39.336376,79.077278
39.024609,78.443123
38.590008,77.618774
37.985256,76.454391
37.176128,74.884438
36.136856,72.861053
34.843460,70.335999
33.272377,67.251144
31.404011,63.579525
29.254379,59.321857
26.856689,54.558846
24.266180,49.401978
21.547245,43.966713
18.760481,38.373158
15.972310,32.746445
13.257754,27.230108
10.700146,21.980106
8.386232,17.168337
6.397206,12.977529
4.797666,9.499137
3.615520,6.824759
2.835304,4.945068
2.394211,3.768116
2.180436,3.116304
2.081959,2.783337
2.032922,2.619827
2.003221,2.545761
1.981332,2.542359
1.962497,2.549593
1.946403,2.558247
1.933075,2.567891
1.922428,2.569556
1.916394,2.542953
1.912752,2.532674
1.907722,2.520706
1.896987,2.474932
1.886972,2.455156
1.881376,2.439720
1.878411,2.430101
1.876869,2.423389
1.875912,2.419914
1.873267,2.401320
1.866410,2.358450
1.851418,2.334996
1.847820,2.325974
1.845370,2.316499
1.843530,2.309836
1.842057,2.305277
1.840742,2.303767
1.839459,2.302365
1.838186,2.301821
1.836946,2.301413
1.835752,2.301756
1.834608,2.302464
1.833509,2.302914
1.831939,2.303459
1.830729,2.305242
1.829586,2.305895
1.828456,2.307790
1.827362,2.307949
1.826317,2.309244
1.825318,2.309037
1.817510,2.277708
1.815652,2.275583
1.814614,2.277169
1.813698,2.278519
1.812848,2.280523
1.812023,2.281264
1.811189,2.281993
1.810338,2.282029
1.809463,2.281761
1.808555,2.281195
1.807624,2.279620
1.806675,2.277945
1.805711,2.276616
1.804786,2.274707
1.803881,2.274112
1.802981,2.271611
1.802126,2.270918
1.801378,2.269467
1.800723,2.268289
1.800139,2.267516
1.799630,2.266128
1.799173,2.266399
1.798779,2.266827
1.798419,2.264822
1.798109,2.265890
1.797824,2.264530
