# Chi2_train, Chi2_test
55.821880,111.964241
43.998482,88.623672
41.544750,80.604538
41.371071,79.471527
41.182747,79.118050
40.799614,78.438522
39.976364,76.947395
38.428413,74.059441
36.148773,69.683479
33.018879,63.665237
28.947088,55.846607
24.161688,46.677803
18.925974,36.693424
13.629175,26.517332
8.784606,17.071112
5.086027,9.673155
2.955486,5.187967
2.174682,3.333570
1.999735,2.772081
1.974884,2.724700
1.968273,2.692097
1.963783,2.665549
1.959432,2.642984
1.954013,2.627842
1.947189,2.612081
1.939052,2.593776
1.929867,2.574399
1.920249,2.559154
1.911308,2.548566
1.903593,2.543718
