# Chi2_train, Chi2_test
42404.804688,39226.953125
32.393143,40.626240
31.830154,40.043575
30.113922,38.266731
25.787254,33.697254
22.780739,30.200058
22.461657,29.738924
22.193228,29.462339
21.839767,29.105093
21.704062,28.906883
20.686028,27.960321
18.852707,26.074949
16.308468,23.302473
14.929139,23.369778
13.329351,20.098766
12.108931,18.683340
11.082167,17.404257
9.353984,16.056128
7.444529,14.543658
6.248858,13.497534
5.549510,12.795381
4.746184,12.176123
2.675844,10.169438
2.093780,9.722742
1.885405,9.569526
