# Chi2_train, Chi2_test
2338.006836,1775.217529
33.311054,44.540859
30.997875,42.139427
23.888973,34.166916
22.243113,32.339874
21.256432,31.257973
20.277241,30.163252
19.684460,29.475260
18.802271,28.505482
17.054142,26.655973
16.625381,26.885639
12.685113,22.242805
10.857143,20.471066
8.968438,18.702408
6.867722,16.770559
4.796191,14.956127
3.125245,13.493844
2.079062,12.613459
1.660282,12.330546
2.045102,12.843851
1.426512,12.216758
1.545784,12.464939
1.332056,12.198225
1.311425,12.171817
1.292963,12.257017
