# Chi2_train, Chi2_test
51.411114,104.960930
45.008499,91.905617
41.787327,83.467201
40.934715,79.748024
40.813152,78.679779
40.765759,78.454025
40.716793,78.372894
40.658623,78.290733
40.584236,78.182999
40.486591,78.037796
40.360100,77.843895
40.200722,77.592018
40.005291,77.274879
39.770752,76.885376
39.495258,76.416306
39.180454,75.864479
38.832939,75.235313
38.462734,74.542030
38.078449,73.797256
37.678783,72.998344
37.230156,72.089989
36.669617,70.956604
35.952660,69.513435
35.034325,67.700874
33.827393,65.360321
32.217140,62.286407
30.170269,58.399300
27.725567,53.742065
24.951534,48.429714
21.947096,42.637291
18.827585,36.574776
15.698462,30.435146
12.679395,24.444666
9.924411,18.896004
7.560604,14.066961
5.683786,10.172614
4.318512,7.354042
3.401971,5.403551
2.847642,4.210332
2.504106,3.534722
2.296658,3.064362
2.178010,2.802571
2.109287,2.647128
2.073852,2.561604
2.053118,2.510805
2.041153,2.482749
2.033847,2.465928
2.029983,2.462010
2.026971,2.460486
2.024288,2.460836
2.021761,2.462420
2.019331,2.465199
2.009974,2.472562
2.002101,2.470604
2.001531,2.472770
2.000982,2.474677
2.000468,2.476887
2.000018,2.479389
1.999588,2.480942
1.999213,2.482674
1.998914,2.484630
1.998593,2.486347
1.998298,2.488326
1.998013,2.489323
1.997735,2.490831
1.997446,2.491935
1.997175,2.492475
1.996903,2.493458
1.996631,2.494900
1.996341,2.494865
1.996075,2.495302
1.995795,2.496492
1.995515,2.496450
1.995246,2.497304
1.994889,2.498099
1.994562,2.498367
1.994243,2.499159
1.993927,2.500068
1.993618,2.500319
1.993307,2.501363
1.992979,2.502569
1.992672,2.503249
1.992365,2.504769
1.992006,2.504188
1.991707,2.505017
1.991373,2.506552
1.991049,2.507401
1.990725,2.509373
1.990417,2.508891
1.990096,2.510368
1.989796,2.512005
1.989468,2.512366
1.989174,2.514344
