# Chi2_train, Chi2_test
6656.067383,6007.589355
33.849861,39.596809
33.771122,39.514584
33.653023,39.398594
33.259838,39.015270
28.552097,34.276810
21.142916,26.514521
19.433870,24.643120
17.004843,21.991175
13.871512,18.738806
10.749817,15.569439
7.571069,12.638370
4.789944,10.141091
2.931067,8.537816
2.042745,7.865370
1.944533,8.138102
1.640913,7.645778
1.599971,7.643075
1.573373,7.621966
1.636308,7.873426
1.527942,7.602058
1.548084,7.715641
1.490452,7.577661
1.473166,7.566434
1.775359,7.550531
