,Unnamed: 0,pred,pred_high,pred_low,dif4,sigma_dif4,dif4_high,dif4_low,dif4_median,match4,sigma_match4,match4_high,match4_low,match4_median,spectrum4,dif5,sigma_dif5,dif5_high,dif5_low,dif5_median,match5,sigma_match5,match5_high,match5_low,match5_median,spectrum5,dif6,sigma_dif6,dif6_high,dif6_low,dif6_median,match6,sigma_match6,match6_high,match6_low,match6_median,spectrum6,dif7,sigma_dif7,dif7_high,dif7_low,dif7_median,match7,sigma_match7,match7_high,match7_low,match7_median,spectrum7
10,10,79045.67294897487,68942.82469713216,89022.73473018748,0.0,0.0,0.0,0.0,0.0,44048.25898804703,7.473763178886679e-12,44048.25898804698,44048.25898804698,44048.25898804698,44048.25898804698,0.0,0.0,0.0,0.0,0.0,41385.27748155074,5.874236628425488e-12,41385.277481550685,41385.277481550685,41385.277481550685,41385.277481550685,0.0,0.0,0.0,0.0,0.0,73286.08562838462,1.1956693365371293e-11,73286.08562838456,73286.08562838456,73286.08562838456,73286.08562838456,0.0,0.0,0.0,0.0,0.0,52794.1027282172,5.39894981715274e-12,52794.102728217265,52794.102728217265,52794.102728217265,52794.102728217265
11,11,84183.17757028298,73582.08575334949,94833.06126823118,0.0,0.0,0.0,0.0,0.0,46279.611202123386,7.320663928958036e-12,46279.61120212337,46279.61120212337,46279.61120212337,46279.61120212337,0.0,0.0,0.0,0.0,0.0,43798.00843650474,6.253564497562486e-12,43798.008436504715,43798.008436504715,43798.008436504715,43798.008436504715,0.0,0.0,0.0,0.0,0.0,75999.52100951111,1.2948528022298676e-11,75999.52100951107,75999.52100951107,75999.52100951107,75999.52100951107,0.0,0.0,0.0,0.0,0.0,54423.78245934653,5.9063220913266755e-12,54423.782459346585,54423.782459346585,54423.782459346585,54423.782459346585
12,12,89826.72938242868,79016.57147833606,100968.79750511076,0.0,0.0,0.0,0.0,0.0,48715.70886485473,7.2560906633770805e-12,48715.708864854736,48715.708864854736,48715.708864854736,48715.708864854736,0.0,0.0,0.0,0.0,0.0,46366.01285941515,6.712560989201274e-12,46366.01285941515,46366.01285941515,46366.01285941515,46366.01285941515,0.0,0.0,0.0,0.0,0.0,78881.33644603594,1.3678385061649947e-11,78881.33644603593,78881.33644603593,78881.33644603593,78881.33644603593,0.0,0.0,0.0,0.0,0.0,56173.81169711585,6.479119531159433e-12,56173.81169711587,56173.81169711587,56173.81169711587,56173.81169711587
13,13,96048.84231781664,84248.72271947641,108183.16047884423,0.0,0.0,0.0,0.0,0.0,51388.1638765743,7.307789921258835e-12,51388.163876574334,51388.163876574334,51388.163876574334,51388.163876574334,0.0,0.0,0.0,0.0,0.0,49092.07497959519,7.357104390147516e-12,49092.07497959519,49092.07497959519,49092.07497959519,49092.07497959519,0.0,0.0,0.0,0.0,0.0,81947.36645956099,1.402567510064882e-11,81947.36645956099,81947.36645956099,81947.36645956099,81947.36645956099,0.0,0.0,0.0,0.0,0.0,58059.65844686053,7.1797647891683886e-12,58059.658446860536,58059.658446860536,58059.658446860536,58059.658446860536
14,14,102925.0801411959,90245.8146454408,115863.38522948418,0.0,0.0,0.0,0.0,0.0,54330.68307329495,7.449410261983299e-12,54330.683073295026,54330.683073295026,54330.683073295026,54330.683073295026,0.0,0.0,0.0,0.0,0.0,51983.379543247844,8.231468052862713e-12,51983.37954324786,51983.37954324786,51983.37954324786,51983.37954324786,0.0,0.0,0.0,0.0,0.0,85216.21957513093,1.391126582714583e-11,85216.21957513093,85216.21957513093,85216.21957513093,85216.21957513093,0.0,0.0,0.0,0.0,0.0,60091.76835590665,8.015328175344473e-12,60091.76835590664,60091.76835590664,60091.76835590664,60091.76835590664
15,15,110547.02537115412,97016.02378477283,124672.06949691092,0.0,0.0,0.0,0.0,0.0,57576.622417659775,7.717477483746673e-12,57576.62241765987,57576.62241765987,57576.62241765987,57576.62241765987,0.0,0.0,0.0,0.0,0.0,55051.331241280124,9.344646226500975e-12,55051.33124128017,55051.33124128017,55051.33124128017,55051.33124128017,0.0,0.0,0.0,0.0,0.0,88708.84564638048,1.3285308189672171e-11,88708.8456463805,88708.8456463805,88708.8456463805,88708.8456463805,0.0,0.0,0.0,0.0,0.0,62283.36008796311,8.978259527021252e-12,62283.36008796308,62283.36008796308,62283.36008796308,62283.36008796308
16,16,119026.16214188635,104556.20602578436,134053.49960000732,0.0,0.0,0.0,0.0,0.0,61156.22873557209,8.124440391243142e-12,61156.22873557223,61156.22873557223,61156.22873557223,61156.22873557223,0.0,0.0,0.0,0.0,0.0,58314.57731371125,1.0627881342789266e-11,58314.57731371129,58314.57731371129,58314.57731371129,58314.57731371129,0.0,0.0,0.0,0.0,0.0,92451.61972585981,1.2174136363317842e-11,92451.61972585988,92451.61972585988,92451.61972585988,92451.61972585988,0.0,0.0,0.0,0.0,0.0,64652.38528681445,1.0088704433816435e-11,64652.38528681442,64652.38528681442,64652.38528681442,64652.38528681442
17,17,128494.1421379486,112657.10327277008,144730.3395179247,0.0,0.0,0.0,0.0,0.0,65090.09649399008,8.563951167269698e-12,65090.096493990255,65090.096493990255,65090.096493990255,65090.096493990255,0.0,0.0,0.0,0.0,0.0,61799.4030977225,1.1900616917769605e-11,61799.40309772253,61799.40309772253,61799.40309772253,61799.40309772253,0.0,0.0,0.0,0.0,0.0,96475.66662848188,1.0677414033243801e-11,96475.66662848195,96475.66662848195,96475.66662848195,96475.66662848195,0.0,0.0,0.0,0.0,0.0,67215.40203926215,1.12678270074145e-11,67215.40203926213,67215.40203926213,67215.40203926213,67215.40203926213
18,18,139099.4433930846,121667.77306012086,157018.23906947664,0.0,0.0,0.0,0.0,0.0,69391.43580636628,8.926134928035862e-12,69391.43580636647,69391.43580636647,69391.43580636647,69391.43580636647,0.0,0.0,0.0,0.0,0.0,65536.694249033,1.3004183279533784e-11,65536.69424903301,65536.69424903301,65536.69424903301,65536.69424903301,0.0,0.0,0.0,0.0,0.0,100808.54803318047,8.89508721645773e-12,100808.54803318056,100808.54803318056,100808.54803318056,100808.54803318056,0.0,0.0,0.0,0.0,0.0,69985.73691811535,1.2387851020994266e-11,69985.73691811532,69985.73691811532,69985.73691811532,69985.73691811532
19,19,151023.59932327954,131488.01687212888,171102.5092203821,0.0,0.0,0.0,0.0,0.0,74077.16226214956,9.109496371706904e-12,74077.16226214981,74077.16226214981,74077.16226214981,74077.16226214981,0.0,0.0,0.0,0.0,0.0,69565.37804595986,1.3818991889188255e-11,69565.37804595985,69565.37804595985,69565.37804595985,69565.37804595985,0.0,0.0,0.0,0.0,0.0,105469.50995975852,6.978800631544674e-12,105469.50995975858,105469.50995975858,105469.50995975858,105469.50995975858,0.0,0.0,0.0,0.0,0.0,72979.40484844171,1.3327404493721176e-11,72979.4048484417,72979.4048484417,72979.4048484417,72979.4048484417
