,pred,pred_high,pred_low,dif14,sigma_dif14,dif14_high,dif14_low,dif14_median,match14,sigma_match14,match14_high,match14_low,match14_median,spectrum14
0,596100.7112723507,494584.23241763463,712138.0058123835,0.0,0.0,0.0,0.0,0.0,545125.9475702047,0.0,545125.9475702047,545125.9475702047,545125.9475702047,545125.9475702047
1,736792.9905188343,609467.6783515151,867141.2955365086,0.0,0.0,0.0,0.0,0.0,545125.9475702047,0.0,545125.9475702047,545125.9475702047,545125.9475702047,545125.9475702047
2,905282.1181853337,754746.9475779973,1069108.7703172546,0.0,0.0,0.0,0.0,0.0,640204.176027598,0.0,640204.176027598,640204.176027598,640204.176027598,640204.176027598
3,1100547.3725531003,911825.3251863859,1293161.844488322,0.0,0.0,0.0,0.0,0.0,786867.4975057722,0.0,786867.4975057722,786867.4975057722,786867.4975057722,786867.4975057722
4,1317982.2683614835,1089346.383554674,1527285.5848079522,0.0,0.0,0.0,0.0,0.0,957017.8875784844,0.0,957017.8875784844,957017.8875784844,957017.8875784844,957017.8875784844
5,1550007.1012915594,1300182.0091525677,1772179.0385913004,0.0,0.0,0.0,0.0,0.0,1147896.955806454,0.0,1147896.955806454,1147896.955806454,1147896.955806454,1147896.955806454
6,1779947.8912288977,1500897.0690287189,2012332.959487879,0.0,0.0,0.0,0.0,0.0,1355155.6990601427,0.0,1355155.6990601427,1355155.6990601427,1355155.6990601427,1355155.6990601427
7,1993089.5167848784,1690215.9652988538,2279014.9890734926,0.0,0.0,0.0,0.0,0.0,1570879.676414595,0.0,1570879.676414595,1570879.676414595,1570879.676414595,1570879.676414595
8,2156303.836175375,1848927.7348378128,2448575.8180693807,0.0,0.0,0.0,0.0,0.0,1783186.499007257,0.0,1783186.499007257,1783186.499007257,1783186.499007257,1783186.499007257
9,2251448.304562944,1965621.6181248839,2492998.278896848,0.0,0.0,0.0,0.0,0.0,1979163.3215999196,0.0,1979163.3215999196,1979163.3215999196,1979163.3215999196,1979163.3215999196
10,2299662.2121091867,2031477.0988295968,2536591.3199965484,0.0,0.0,0.0,0.0,0.0,2146056.225045665,0.0,2146056.225045665,2146056.225045665,2146056.225045665,2146056.225045665
11,2313168.486161289,2047797.285777381,2573482.606465368,0.0,0.0,0.0,0.0,0.0,2270230.8661121987,0.0,2270230.8661121987,2270230.8661121987,2270230.8661121987,2270230.8661121987
12,2296437.651672681,2047324.9704903981,2549716.591811075,0.0,0.0,0.0,0.0,0.0,2341459.8103841087,0.0,2341459.8103841087,2341459.8103841087,2341459.8103841087,2341459.8103841087
13,2253076.7851566304,2001192.6784307018,2507392.6006800532,0.0,0.0,0.0,0.0,0.0,2358938.830657174,0.0,2358938.830657174,2358938.830657174,2358938.830657174,2358938.830657174
14,2181743.064699364,1934514.409209112,2440734.3331416026,0.0,0.0,0.0,0.0,0.0,2329916.310643714,0.0,2329916.310643714,2329916.310643714,2329916.310643714,2329916.310643714
15,2088161.1036784067,1834389.545691697,2351154.7094133305,0.0,0.0,0.0,0.0,0.0,2264184.1981743635,0.0,2264184.1981743635,2264184.1981743635,2264184.1981743635,2264184.1981743635
16,1977863.3780820763,1737471.6806417825,2232264.205712873,0.0,0.0,0.0,0.0,0.0,2171247.8109033196,0.0,2171247.8109033196,2171247.8109033196,2171247.8109033196,2171247.8109033196
17,1857597.8397228343,1627651.2621575582,2099950.631153156,0.0,0.0,0.0,0.0,0.0,2059364.9309432223,0.0,2059364.9309432223,2059364.9309432223,2059364.9309432223,2059364.9309432223
18,1731292.6586087304,1512189.9047728018,1965387.04646058,0.0,0.0,0.0,0.0,0.0,1936221.8873575786,0.0,1936221.8873575786,1936221.8873575786,1936221.8873575786,1936221.8873575786
19,1603333.4656736339,1399834.5606894873,1822981.034225011,0.0,0.0,0.0,0.0,0.0,1809899.0956480464,0.0,1809899.0956480464,1809899.0956480464,1809899.0956480464,1809899.0956480464
20,1475382.805335023,1283719.8121588496,1674023.6191561,0.0,0.0,0.0,0.0,0.0,1685517.8340019712,0.0,1685517.8340019712,1685517.8340019712,1685517.8340019712,1685517.8340019712
21,1349130.5969911015,1172117.6440348728,1529060.3946979498,0.0,0.0,0.0,0.0,0.0,1563429.4833721938,0.0,1563429.4833721938,1563429.4833721938,1563429.4833721938,1563429.4833721938
22,1227178.9187311258,1071395.9162495562,1394587.361325324,0.0,0.0,0.0,0.0,0.0,1443201.9729556276,0.0,1443201.9729556276,1443201.9729556276,1443201.9729556276,1443201.9729556276
23,1110984.100256712,969438.5424256823,1264320.4734254363,0.0,0.0,0.0,0.0,0.0,1325326.6060646125,0.0,1325326.6060646125,1325326.6060646125,1325326.6060646125,1325326.6060646125
24,1002105.6365559965,871230.9654740178,1138206.41621529,0.0,0.0,0.0,0.0,0.0,1210179.7844851215,0.0,1210179.7844851215,1210179.7844851215,1210179.7844851215,1210179.7844851215
25,901032.720839183,783173.723668594,1023252.4984837532,0.0,0.0,0.0,0.0,0.0,1098330.0788563057,0.0,1098330.0788563057,1098330.0788563057,1098330.0788563057,1098330.0788563057
26,808600.0245994449,703327.6011074071,919424.996661286,0.0,0.0,0.0,0.0,0.0,991425.4914254132,0.0,991425.4914254132,991425.4914254132,991425.4914254132,991425.4914254132
27,724095.685798247,628026.313005146,827348.0719224879,0.0,0.0,0.0,0.0,0.0,891262.9752267931,0.0,891262.9752267931,891262.9752267931,891262.9752267931,891262.9752267931
28,646784.4868308984,562543.6535684661,737978.1226344111,0.0,0.0,0.0,0.0,0.0,797983.9277693385,0.0,797983.9277693385,797983.9277693385,797983.9277693385,797983.9277693385
29,577056.5544394949,501793.89051704545,659495.0449085025,0.0,0.0,0.0,0.0,0.0,710869.6541151877,0.0,710869.6541151877,710869.6541151877,710869.6541151877,710869.6541151877
30,514437.46394603595,447761.32957405905,589589.0798267297,0.0,0.0,0.0,0.0,0.0,630642.0568995493,0.0,630642.0568995493,630642.0568995493,630642.0568995493,630642.0568995493
31,458387.27191938483,400043.37683375314,523442.3592424081,0.0,0.0,0.0,0.0,0.0,558790.4770448547,0.0,558790.4770448547,558790.4770448547,558790.4770448547,558790.4770448547
32,408339.3727133063,356236.9203492843,466320.91937077505,0.0,0.0,0.0,0.0,0.0,494493.7225070916,0.0,494493.7225070916,494493.7225070916,494493.7225070916,494493.7225070916
33,364078.8343993367,318260.826066913,415655.33879838034,0.0,0.0,0.0,0.0,0.0,435428.9219872847,0.0,435428.9219872847,435428.9219872847,435428.9219872847,435428.9219872847
34,324642.605687632,284240.8430645955,369719.85014765663,0.0,0.0,0.0,0.0,0.0,381180.93361400993,0.0,381180.93361400993,381180.93361400993,381180.93361400993,381180.93361400993
35,289257.83077016467,253596.54277268468,329261.9082921899,0.0,0.0,0.0,0.0,0.0,333618.15936673834,0.0,333618.15936673834,333618.15936673834,333618.15936673834,333618.15936673834
36,257798.54953390674,226369.68987506593,292883.4804172287,0.0,0.0,0.0,0.0,0.0,293573.33637445385,0.0,293573.33637445385,293573.33637445385,293573.33637445385,293573.33637445385
37,229833.09526392535,201503.8771533007,260792.8915819523,0.0,0.0,0.0,0.0,0.0,259005.7472028992,0.0,259005.7472028992,259005.7472028992,259005.7472028992,259005.7472028992
38,204971.44584441942,179251.30686604764,232239.77339246703,0.0,0.0,0.0,0.0,0.0,227950.91220253884,0.0,227950.91220253884,227950.91220253884,227950.91220253884,227950.91220253884
39,183033.05633597006,160261.52108850225,208092.34642077566,0.0,0.0,0.0,0.0,0.0,200567.9440305761,0.0,200567.9440305761,200567.9440305761,200567.9440305761,200567.9440305761
40,163496.48287944624,143089.01245733994,185558.67038886074,0.0,0.0,0.0,0.0,0.0,177414.5601838858,0.0,177414.5601838858,177414.5601838858,177414.5601838858,177414.5601838858
41,145965.59506411734,127839.42488684393,165495.66205291142,0.0,0.0,0.0,0.0,0.0,157711.7240986013,0.0,157711.7240986013,157711.7240986013,157711.7240986013,157711.7240986013
