,pred,pred_high,pred_low,dif4,sigma_dif4,dif4_high,dif4_low,dif4_median,match4,sigma_match4,match4_high,match4_low,match4_median,spectrum4,dif5,sigma_dif5,dif5_high,dif5_low,dif5_median,match5,sigma_match5,match5_high,match5_low,match5_median,spectrum5,dif6,sigma_dif6,dif6_high,dif6_low,dif6_median,match6,sigma_match6,match6_high,match6_low,match6_median,spectrum6
0,46761.70536966463,39553.730568391606,53721.66515357787,0.0,0.0,0.0,0.0,0.0,32531.99724094912,2.2187754083304484e-12,32531.997240949022,32531.997240949022,32531.997240949022,32531.997240949022,0.0,0.0,0.0,0.0,0.0,28825.921511165117,1.5176909043749553e-12,28825.921511165096,28825.921511165096,28825.921511165096,28825.921511165096,0.0,0.0,0.0,0.0,0.0,58283.967452634985,3.973997973362542e-12,58283.967452635225,58283.967452635225,58283.967452635225,58283.967452635225
1,49160.05391383301,41702.443366867024,56384.74938804256,0.0,0.0,0.0,0.0,0.0,32531.997240949124,2.2187754083304492e-12,32531.997240949022,32531.997240949022,32531.997240949022,32531.997240949022,0.0,0.0,0.0,0.0,0.0,28825.921511165114,1.5176909043749553e-12,28825.921511165096,28825.921511165096,28825.921511165096,28825.921511165096,0.0,0.0,0.0,0.0,0.0,58283.967452634985,3.973997973362543e-12,58283.96745263522,58283.96745263522,58283.96745263522,58283.96745263522
2,51659.550565161386,43978.432619927284,59249.3447580286,0.0,0.0,0.0,0.0,0.0,32840.84553603457,2.351819093964007e-12,32840.84553603445,32840.84553603445,32840.84553603445,32840.84553603445,0.0,0.0,0.0,0.0,0.0,29142.061316152794,1.5814648076358526e-12,29142.06131615277,29142.06131615277,29142.06131615277,29142.06131615277,0.0,0.0,0.0,0.0,0.0,58697.75700512412,4.0828282496456925e-12,58697.75700512435,58697.75700512435,58697.75700512435,58697.75700512435
3,54347.37331644321,46212.238172506106,62500.87355457401,0.0,0.0,0.0,0.0,0.0,33451.05910169342,2.6242381413391244e-12,33451.0591016933,33451.0591016933,33451.0591016933,33451.0591016933,0.0,0.0,0.0,0.0,0.0,29773.186227129674,1.7228507460171428e-12,29773.186227129645,29773.186227129645,29773.186227129645,29773.186227129645,0.0,0.0,0.0,0.0,0.0,59507.79742787357,4.247197305437224e-12,59507.79742787377,59507.79742787377,59507.79742787377,59507.79742787377
4,57242.95749961678,48757.103932406135,65455.77891165947,0.0,0.0,0.0,0.0,0.0,34342.05528972225,2.9857626958237815e-12,34342.05528972213,34342.05528972213,34342.05528972213,34342.05528972213,0.0,0.0,0.0,0.0,0.0,30709.18304190622,1.9680254069301032e-12,30709.18304190618,30709.18304190618,30709.18304190618,30709.18304190618,0.0,0.0,0.0,0.0,0.0,60686.03421165203,4.449293203093443e-12,60686.034211652186,60686.034211652186,60686.034211652186,60686.034211652186
5,60368.298767427004,51550.83501649267,68545.87015893639,0.0,0.0,0.0,0.0,0.0,35482.69938925399,3.376466938476243e-12,35482.699389253874,35482.699389253874,35482.699389253874,35482.699389253874,0.0,0.0,0.0,0.0,0.0,31929.551631289636,2.3111693354198614e-12,31929.55163128958,31929.55163128958,31929.55163128958,31929.55163128958,0.0,0.0,0.0,0.0,0.0,62199.595253664724,4.667215716262351e-12,62199.59525366484,62199.59525366484,62199.59525366484,62199.59525366484
6,63748.379595298444,54542.09811782254,72574.66605468371,0.0,0.0,0.0,0.0,0.0,36839.57810299754,3.712513954540397e-12,36839.57810299742,36839.57810299742,36839.57810299742,36839.57810299742,0.0,0.0,0.0,0.0,0.0,33408.67636512162,2.6632250028282057e-12,33408.676365121544,33408.676365121544,33408.676365121544,33408.676365121544,0.0,0.0,0.0,0.0,0.0,64007.001600342825,4.877349559225903e-12,64007.001600342905,64007.001600342905,64007.001600342905,64007.001600342905
7,67411.99103542825,57709.56730906588,76809.63561478278,0.0,0.0,0.0,0.0,0.0,38387.48278538478,3.9574878355189916e-12,38387.48278538468,38387.48278538468,38387.48278538468,38387.48278538468,0.0,0.0,0.0,0.0,0.0,35119.324304993286,2.996416226800861e-12,35119.324304993206,35119.324304993206,35119.324304993206,35119.324304993206,0.0,0.0,0.0,0.0,0.0,66059.5126062833,5.098421517200239e-12,66059.51260628334,66059.51260628334,66059.51260628334,66059.51260628334
8,71384.36393866668,61224.498304791065,81492.33534827322,0.0,0.0,0.0,0.0,0.0,40109.88576186305,4.1055908840784625e-12,40109.88576186296,40109.88576186296,40109.88576186296,40109.88576186296,0.0,0.0,0.0,0.0,0.0,37033.85847500509,3.3161346158896276e-12,37033.85847500501,37033.85847500501,37033.85847500501,37033.85847500501,0.0,0.0,0.0,0.0,0.0,68310.60804392517,5.430969156245259e-12,68310.60804392521,68310.60804392521,68310.60804392521,68310.60804392521
9,75691.76266217865,65251.98932763207,86072.45753640633,0.0,0.0,0.0,0.0,0.0,41996.57069339359,4.223769932179341e-12,41996.57069339352,41996.57069339352,41996.57069339352,41996.57069339352,0.0,0.0,0.0,0.0,0.0,39128.2060503798,3.587733721694787e-12,39128.206050379726,39128.206050379726,39128.206050379726,39128.206050379726,0.0,0.0,0.0,0.0,0.0,70725.01258029374,5.921951874989683e-12,70725.01258029378,70725.01258029378,70725.01258029378,70725.01258029378
