,pred,pred_high,pred_low,dif15,sigma_dif15,dif15_high,dif15_low,dif15_median,match15,sigma_match15,match15_high,match15_low,match15_median,spectrum15
33,384137.62969674065,341824.69605711004,423362.79704628076,0.0,0.0,0.0,0.0,0.0,424640.45199726033,0.0,424640.45199726033,424640.45199726033,424640.45199726033,424640.45199726033
34,339223.07328395965,301724.0037420409,372919.11292189365,0.0,0.0,0.0,0.0,0.0,373847.60057172796,0.0,373847.60057172796,373847.60057172796,373847.60057172796,373847.60057172796
35,299005.16349397553,266287.5318642881,328658.3205794287,0.0,0.0,0.0,0.0,0.0,328315.3401745116,0.0,328315.3401745116,328315.3401745116,328315.3401745116,328315.3401745116
36,263452.1825907343,234531.5447588749,288501.5926154498,0.0,0.0,0.0,0.0,0.0,288432.9159012795,0.0,288432.9159012795,288432.9159012795,288432.9159012795,288432.9159012795
37,232129.67023283755,206655.2814441263,253996.1845903864,0.0,0.0,0.0,0.0,0.0,254019.738339143,0.0,254019.738339143,254019.738339143,254019.738339143,254019.738339143
38,204629.9588366503,181912.07070335862,223772.62628777427,0.0,0.0,0.0,0.0,0.0,224131.06451444683,0.0,224131.06451444683,224131.06451444683,224131.06451444683,224131.06451444683
39,180733.74862721315,160439.68127812893,197554.20209659025,0.0,0.0,0.0,0.0,0.0,197563.85684101755,0.0,197563.85684101755,197563.85684101755,197563.85684101755,197563.85684101755
40,159826.47430712858,142284.81943221885,174633.36247585894,0.0,0.0,0.0,0.0,0.0,173846.87551343732,0.0,173846.87551343732,173846.87551343732,173846.87551343732,173846.87551343732
41,141410.8999041666,126053.66399699626,154623.18331550862,0.0,0.0,0.0,0.0,0.0,153359.58259374596,0.0,153359.58259374596,153359.58259374596,153359.58259374596,153359.58259374596
42,125343.08652920886,111821.44708954684,136943.06813426124,0.0,0.0,0.0,0.0,0.0,136005.36887301115,0.0,136005.36887301115,136005.36887301115,136005.36887301115,136005.36887301115
43,111320.97697792077,99143.76159565418,121442.12392374992,0.0,0.0,0.0,0.0,0.0,120955.48829587542,0.0,120955.48829587542,120955.48829587542,120955.48829587542,120955.48829587542
44,99081.10658250717,88345.33329865833,108017.63576387144,0.0,0.0,0.0,0.0,0.0,107539.54994786318,4.02205044883916e-12,107539.54994786326,107539.54994786326,107539.54994786326,107539.54994786326
45,88391.28796220901,78870.89008540721,96300.29132379149,0.0,0.0,0.0,0.0,0.0,95440.41798572184,1.2540890003947271e-11,95440.41798572197,95440.41798572197,95440.41798572197,95440.41798572197
46,79118.67702681517,70636.57272845057,86126.67730220406,0.0,0.0,0.0,0.0,0.0,84614.85340457202,1.5794797169291535e-11,84614.85340457212,84614.85340457212,84614.85340457212,84614.85340457212
47,70996.12130031789,63467.52308441497,77346.74855828522,0.0,0.0,0.0,0.0,0.0,75318.37423122706,1.1298008063022588e-11,75318.3742312271,75318.3742312271,75318.3742312271,75318.3742312271
