,x14,x15,x16,x17,x19,x20,x21,x22,x23,y14,y15,y16,y17,y19,y20,y21,y22,y23,log y14,derivative y14,smooth derivative y14,log derivative y14,smooth log derivative y14,2nd derivative y14,2nd log derivative y14,log y15,derivative y15,smooth derivative y15,log derivative y15,smooth log derivative y15,2nd derivative y15,2nd log derivative y15,log y16,derivative y16,smooth derivative y16,log derivative y16,smooth log derivative y16,2nd derivative y16,2nd log derivative y16,log y17,derivative y17,smooth derivative y17,log derivative y17,smooth log derivative y17,2nd derivative y17,2nd log derivative y17,log y19,derivative y19,smooth derivative y19,log derivative y19,smooth log derivative y19,2nd derivative y19,2nd log derivative y19,log y20,derivative y20,smooth derivative y20,log derivative y20,smooth log derivative y20,2nd derivative y20,2nd log derivative y20,log y21,derivative y21,smooth derivative y21,log derivative y21,smooth log derivative y21,2nd derivative y21,2nd log derivative y21,log y22,derivative y22,smooth derivative y22,log derivative y22,smooth log derivative y22,2nd derivative y22,2nd log derivative y22,log y23,derivative y23,smooth derivative y23,log derivative y23,smooth log derivative y23,2nd derivative y23,2nd log derivative y23
225,1.6250000000000009,1.6250000000000009,1.6250000000000009,1.6250000000000009,1.6250000000000009,1.6250000000000009,1.6250000000000009,1.6250000000000009,1.6250000000000009,0.007333267477475896,0.007206789676385172,0.0071686905580250135,0.008399031625292324,0.00717654220322735,0.007252765706434685,0.007259781011524729,0.007354750087821629,0.007110644272412357,-4.91533409467645,-0.021303821952806817,-0.1183176762390028,-2.8044430466035264,-2.768985501140397,0.4300822220541839,2.3564814068737783,-4.932731686706248,-0.021086384298777558,-0.11707837578844854,-2.823841733230945,-2.7787445618262065,0.4250578029797831,2.37046315113208,-4.938032268939626,-0.021055137263208623,-0.11791475223203735,-2.8342689087557056,-2.778259474278432,0.42928029090422315,2.3961412569201115,-4.779638862481725,-0.023535882059862262,-0.1278163394200727,-2.708414827682081,-2.955600265942329,0.47479380821004213,1.7893887258131003,-4.936937599216651,-0.021080938082838632,-0.11691301670354613,-2.834624561040466,-2.814710398682651,0.4227410434778879,2.2953114503192427,-4.926372406109698,-0.021245848110988442,-0.1177080502626918,-2.8270462016784093,-2.8166513657277177,0.4264421639039934,2.294838358240415,-4.925405614302194,-0.020625222002082867,-0.1187870861102963,-2.744669037970514,-2.7485567911036144,0.43409921972543114,2.4151054093587034,-4.912408904048287,-0.021680229181486984,-0.1281862136697563,-2.8442257666526367,-3.029774494255818,0.4775202225557028,1.859408482724634,-4.946162424305699,-0.021062716072711617,-0.12818401584618191,-2.857591329971991,-3.0314956310124055,0.4790152392322021,1.929933371652738
226,1.6500000000000004,1.6500000000000004,1.6500000000000004,1.6500000000000004,1.6500000000000004,1.6500000000000004,1.6500000000000004,1.6500000000000004,1.6500000000000004,0.006853421874211515,0.006731615181089688,0.006694799936608091,0.007858475732231859,0.006701925894051501,0.006773693175396648,0.006796188651460301,0.006863033972956756,0.0066340152179736964,-4.983007207757897,-0.01919382413057564,-0.10820430284680636,-2.7069245232579187,-2.7083830715212804,0.4045349356878661,2.4240971847647135,-5.000940166930072,-0.019006979811819747,-0.10708171309114295,-2.7283392089530394,-2.71772896561935,0.3998665078922322,2.4406238482743157,-5.006424182793619,-0.018955624856677303,-0.10782064896079807,-2.7356765541597965,-2.716614554446444,0.40376413084957957,2.4657967932795612,-4.846162618544296,-0.02162223572241909,-0.11668165435218301,-2.660950242502892,-2.9097133661491807,0.4453874027155969,1.8354759917259713,-5.005360347016795,-0.018984652367034355,-0.10696871928005638,-2.7369099120058364,-2.755546252686024,0.3977718969395984,2.3665658398651397,-4.994708820062241,-0.01916290124152189,-0.10767831074851829,-2.733456558101808,-2.757501169109107,0.40118958056694876,2.3660078647444722,-4.9913933163669855,-0.0185436944025775,-0.10858185083984331,-2.6395080825917314,-2.686496276349412,0.40820941081812817,2.482420590168157,-4.981605664906628,-0.01966864459459532,-0.11698275530711164,-2.7678704343336826,-2.9821555016597774,0.4481383345057961,1.904759703841657,-5.015545044523565,-0.019065162177546818,-0.1169456334810853,-2.7753048087146817,-2.9820735051347986,0.44953529460387404,1.9768850351043166
227,1.6750000000000007,1.6750000000000007,1.6750000000000007,1.6750000000000007,1.6750000000000007,1.6750000000000007,1.6750000000000007,1.6750000000000007,1.6750000000000007,0.006420404047693284,0.00630259737615215,0.0062674907381164826,0.0073607876522263,0.006273725705154791,0.006340731964828502,0.006378606543843265,0.006415839006580692,0.006201596379162023,-5.04827422748287,-0.017320713060728975,-0.0987266869108853,-2.6106807889988897,-2.646269874538219,0.3791046374368369,2.4845278793224246,-5.0667934486205795,-0.017160712197501274,-0.09771204496723299,-2.634131267620246,-2.6551382599567206,0.3747867249563932,2.503628226505139,-5.072379205696542,-0.017092367939664094,-0.09836150854804107,-2.638200916116878,-2.653412148720791,0.3783656165102746,2.528096229026086,-4.911588334001836,-0.01990752320022208,-0.10627660977114295,-2.6170286183015516,-2.8628263923594828,0.4162017832415967,1.8754789515878922,-5.071384889462514,-0.017128007555868158,-0.09764601600887214,-2.640981697828726,-2.6947706631932347,0.37290813084736446,2.4310235797115363,-5.060761065331362,-0.017318448422725567,-0.09827713214512884,-2.642089810764785,-2.6967424864423117,0.3760471441355725,2.4303473066717816,-5.054805615536303,-0.016703284304681223,-0.09902076158237381,-2.5364919667726578,-2.622936320043402,0.3824435702987745,2.5423982522403494,-5.048985501223286,-0.017887798655042305,-0.10650881428527517,-2.6951934526662997,-2.9335734959340973,0.4189576408734526,1.9432802290271747,-5.082948539563505,-0.017296753552466685,-0.10643928763062119,-2.696139801597572,-2.9316546900340548,0.42025383401855865,2.0167526040297257
228,1.700000000000001,1.700000000000001,1.700000000000001,1.700000000000001,1.700000000000001,1.700000000000001,1.700000000000001,1.700000000000001,1.700000000000001,0.006029045151492713,0.00591462344148868,0.005881544626609983,0.006901681548706246,0.0058867491853079,0.005948661981528191,0.0060017363484076705,0.00600816228513824,0.005808367129056566,-5.111166630451209,-0.015654355848022647,-0.08987725304032462,-2.5156961187335365,-2.5828250789704903,0.35397735482242226,2.5377918227091096,-5.13032744520318,-0.015518957386538601,-0.0889619938443324,-2.541359863304002,-2.5911510911929163,0.3500020449160185,2.559486750552135,-5.1359358599686615,-0.01543784446025975,-0.08952974214840625,-2.5422661708847367,-2.5888359954666695,0.35327065598538765,2.5830461301648264,-4.975990194358555,-0.018364244140801882,-0.09659037834768427,-2.5760744142687377,-2.8150885341154996,0.3874492569383415,1.9095143297592982,-5.135051354683458,-0.015479060793875421,-0.08893771745580474,-2.5466586088377237,-2.632553396354772,0.3483319421226911,2.4886906735384784,-5.12458896176732,-0.01568279933201222,-0.08949715270231867,-2.553115857438292,-2.634545868413269,0.35119917771240183,2.4878647211616745,-5.115706460218418,-0.015074807817423564,-0.09009600891598649,-2.436033787284587,-2.558060042545643,0.3569901066554881,2.595051099910338,-5.114636353377411,-0.01630706885769784,-0.09675405284537048,-2.626034086164955,-2.8841961161395364,0.3901904575961823,1.9750951917824087,-5.148455792531651,-0.01572917000421807,-0.09665468362182485,-2.6202901187258103,-2.880413178708951,0.3913841603518481,2.049660453004118
229,1.7250000000000005,1.7250000000000005,1.7250000000000005,1.7250000000000005,1.7250000000000005,1.7250000000000005,1.7250000000000005,1.7250000000000005,1.7250000000000005,0.005674854883103822,0.005563231568619792,0.0055323448369055585,0.006477402051049635,0.00553639981706894,0.005592941403334183,0.005660901294686298,0.005635678930973706,0.005449901489260795,-5.17171028720086,-0.014167610735555936,-0.08164416979534572,-2.421746269986061,-2.5182266419768293,0.329323329799163,2.583937479746494,-5.1915761221833865,-0.014055674914755812,-0.0808199811730611,-2.449947079208296,-2.525945112691769,0.32568050685085864,2.6082391400459515,-5.197143532179208,-0.01396799158817729,-0.08131350777030194,-2.4483068884219064,-2.5230689137759095,0.3286493751241796,2.6306832676304586,-5.039435767054977,-0.016971179906264795,-0.08760729360751127,-2.537822907856918,-2.7666453972258105,0.359323389606928,1.9377254755876074,-5.196410841983246,-0.014013974729558697,-0.08083246394163571,-2.4543794919915554,-2.5690633858667127,0.3242101405667682,2.5396004195224195,-5.186249939983876,-0.014228823127760649,-0.08132679236858789,-2.4664391286622758,-2.571080956202154,0.32681441334923816,2.5385964884446475,-5.174172160100415,-0.013633402148855181,-0.08179547402184882,-2.3386279952799214,-2.4920495102495335,0.33202139576551365,2.640421291844429,-5.178637654103244,-0.014899334166581691,-0.08770328902985501,-2.5600520290333697,-2.834187091659502,0.3620305526206263,2.000360979201428,-5.212157745835338,-0.014338625591831133,-0.0875766588814519,-2.5480781321475208,-2.828519056716604,0.3631209896149256,2.075764879693933
230,1.7500000000000009,1.7500000000000009,1.7500000000000009,1.7500000000000009,1.7500000000000009,1.7500000000000009,1.7500000000000009,1.7500000000000009,1.7500000000000009,0.005353922197162101,0.0052445694826718636,0.005215879881695763,0.006084702396580935,0.005218522199885958,0.005269580190770308,0.005352006764536454,0.005294625820963347,0.005122342837613664,-5.229925865711247,-0.012837307437668635,-0.07401177279964555,-2.3286231404154756,-2.452650560245106,0.30529587982800266,2.6230432692688925,-5.2505621219761744,-0.012746483437916956,-0.07327064433403001,-2.3594399917114846,-2.4596962582999264,0.30197347356123966,2.649954175673661,-5.256047483438949,-0.012658598208391644,-0.0736971334394674,-2.356158050389612,-2.4562920506502453,0.3046549732333771,2.671074525026531,-5.1019774614492786,-0.015707986178747795,-0.07930735138639093,-2.5016677757720274,-2.717638339269909,0.3319976888448087,1.9602823182360296,-5.255541020639065,-0.012715104687319102,-0.07331513813260389,-2.3652071462327147,-2.504468044473187,0.3006930323612685,2.5838136557409883,-5.245804579797295,-0.012934448502554808,-0.07375067084084846,-2.382185592536745,-2.5065157855521254,0.30304486110957274,2.5826068260011135,-5.230283692230167,-0.012355781205993578,-0.07410315849880711,-2.2444612851900594,-2.4250850000563764,0.3076926209216641,2.678580407726245,-5.241062968910493,-0.01364212440041418,-0.07933699333014724,-2.49701259228992,-2.7837054732333364,0.33465182798830617,2.0192647370465866,-5.274143359119607,-0.013102346065885043,-0.07918568074040279,-2.479424531370747,-2.776137720437709,0.33563912564195963,2.0952534511557688
231,1.7750000000000004,1.7750000000000004,1.7750000000000004,1.7750000000000004,1.7750000000000004,1.7750000000000004,1.7750000000000004,1.7750000000000004,1.7750000000000004,0.005062802407200931,0.00495528487614144,0.004928699262468222,0.005720824857615924,0.0049294358212954945,0.00497506456602121,0.0050715433988641825,0.004981708515485823,0.004822334978911399,-5.2858351135777895,-0.01164479159844707,-0.06696101101123506,-2.236369914661734,-2.386270140927482,0.2820304715364257,2.6552167727050278,-5.307300620190578,-0.011571384261217201,-0.06629527629667359,-2.269539928576178,-2.392578023897359,0.2790147214942627,2.684729376102752,-5.3126801670241095,-0.011487224769101865,-0.06666156355673777,-2.265307343406468,-2.3886841379578896,0.28142279530919123,2.7043165076942843,-5.1636422781101885,-0.014555101558600748,-0.07166673795278372,-2.4665926664364504,-2.668203831446846,0.3056245373442949,1.9773803129225587,-5.312530735347147,-0.011563455143618794,-0.0663673002588164,-2.2795885883233553,-2.438932584077979,0.27791351495150535,2.62141841580837,-5.30331693036108,-0.01178062498996415,-0.06675004851692734,-2.3004940225514536,-2.441016117543452,0.28002489295685096,2.6199867203469855,-5.28411008978285,-0.011218534626891114,-0.0669996375177449,-2.153055902107336,-2.35734426160189,0.2841408392424943,2.709629538179521,-5.3019823713837235,-0.012516692219101216,-0.07163181194397321,-2.4367760989292884,-2.732904880972733,0.3082072554469677,2.0320236904241797,-5.334497032761806,-0.012000314348090865,-0.07145837109789449,-2.414146945688012,-2.723429122960929,0.30909238570033853,2.108343899071246
232,1.8000000000000007,1.8000000000000007,1.8000000000000007,1.8000000000000007,1.8000000000000007,1.8000000000000007,1.8000000000000007,1.8000000000000007,1.8000000000000007,0.004798436891008464,0.004692401346468093,0.004667836924412102,0.005383330709441657,0.004665993456252315,0.004706360415340063,0.004816492382539421,0.004694049436658388,0.004546931629716061,-5.33946506180959,-0.010574620647698535,-0.06046991028656945,-2.145197929271992,-2.3192553018051942,0.25964402898662053,2.6805935648914643,-5.361810813386178,-0.010515341186933733,-0.05987228221748536,-2.1804077278239875,-2.324760765980418,0.2569197631675254,2.7126903166775986,-5.367059499955529,-0.010434493522244659,-0.06018482266613788,-2.17517331725674,-2.3204207784431725,0.2590696356239921,2.730534380588644,-5.224448005391919,-0.013499765926970485,-0.06465837808749889,-2.432229091269172,-2.6184728661579433,0.2803343946113894,1.9892386115560863,-5.367454507815877,-0.01053769460172704,-0.05996764041450487,-2.196950898749148,-2.372619357990377,0.25598639377245763,2.652529043504044,-5.358840405264446,-0.01074816602724573,-0.06030328464562162,-2.220938996134589,-2.3747447943537154,0.25787055485222526,2.650852927589431,-5.3357093373022755,-0.010202040652990331,-0.06046253033617922,-2.0639699007770025,-2.289001791751062,0.26148428726262374,2.7336987940330784,-5.3614596497258535,-0.011506363153097238,-0.06456110990914646,-2.379091133685167,-2.681932779027912,0.28282808139306603,2.038884077792804,-5.3933026406024185,-0.011016133967813365,-0.06436805118176986,-2.352224313624449,-2.670547064267519,0.28361279664498124,2.11528234773637
233,1.8250000000000002,1.8250000000000002,1.8250000000000002,1.8250000000000002,1.8250000000000002,1.8250000000000002,1.8250000000000002,1.8250000000000002,1.8250000000000002,0.004558097825904927,0.004453235929914338,0.004430736996625175,0.005069970854399541,0.004425490833568038,0.0044608012815256885,0.004584190256214724,0.004429137342743245,0.0042935281658001995,-5.390849885926273,-0.00961356260414169,-0.0545140477989578,-2.0553929646673637,-2.251771897970384,0.23823449950447115,2.6993361533924665,-5.414124271806167,-0.009566616662150387,-0.05397764679945244,-2.092538336799601,-2.2564110213778577,0.23578541672132194,2.733989784102478,-5.4191893438355265,-0.009483997111477295,-0.05424249030469348,-2.0851937551999544,-2.251673771251342,0.23769329445778095,2.749880287673273,-5.284420210034712,-0.012534394201684913,-0.05825249587867247,-2.3988881857117916,-2.568570402368203,0.2562352883530621,1.9960985515896539,-5.420374083833493,-0.00962010490737127,-0.0540924417646345,-2.116783040704685,-2.3056872352757773,0.23500794599481983,2.6772849085840495,-5.412426869552098,-0.0098223653525752,-0.05438630645888326,-2.1434585715061263,-2.3078611204286785,0.23667912746953934,2.6753469570015334,-5.385141796021139,-0.00929208505298806,-0.054466981797429544,-1.9772983487545726,-2.220228136253436,0.23982194154999203,2.750946219905087,-5.419550444645321,-0.010596483756605945,-0.05809552692770059,-2.3236317967787343,-2.6309298005042105,0.25862331925784016,2.040119140948108,-5.450646467770725,-0.01013613855663468,-0.05788529917684049,-2.2937530867323153,-2.617638516712339,0.2593100801971804,2.116341902207238
234,1.8500000000000005,1.8500000000000005,1.8500000000000005,1.8500000000000005,1.8500000000000005,1.8500000000000005,1.8500000000000005,1.8500000000000005,1.8500000000000005,0.00433934760116823,0.004235381519731149,0.0042150974786520495,0.004778708161347597,0.004205565319771667,0.0042360281504302336,0.004372262430212582,0.004184765313319256,0.004059847410818416,-5.440031264480822,-0.008750008989467734,-0.04906703061647845,-1.9672551421819482,-2.1839810734703082,0.21788068729917087,2.711632980002993,-5.4642818676320415,-0.008714176407327455,-0.04858540591622613,-2.0063038330349485,-2.1876908614284973,0.2156896353290494,2.7488063979743735,-5.469082561187893,-0.008625580718924894,-0.04880818006836601,-1.9957286940946233,-2.182610470568684,0.21737240945309597,2.762532027306289,-5.343585028137655,-0.011650507722077577,-0.052417180383752135,-2.366592724117675,-2.518614853757725,0.23341261979681005,1.9982219444190967,-5.471346554695321,-0.008797020551854717,-0.04871604788163879,-2.0388988344731085,-2.238291010996767,0.2150557553198254,2.6958489711603812,-5.464129205743284,-0.00899092524381807,-0.04897308268886835,-2.068093447647434,-2.2405202737665584,0.21652895080059323,2.6936338664847677,-5.432474685260552,-0.008477113040085573,-0.04898614801006326,-1.8933155695765167,-2.1511892220518125,0.21923335149464812,2.7615565680649077,-5.476304654673046,-0.009774881176959418,-0.05220353812759175,-2.2701684011089927,-2.580029144997021,0.23567955200435028,2.0360262202875457,-5.506609889617037,-0.009347230199271214,-0.0519785130184095,-2.2385368738524427,-2.564842986682181,0.23627144633723615,2.111821201206295
