# best iteration: (array([38]),)
162115.843750,228916.578125
18.356325,20.190456
17.980900,19.754070
17.710756,19.499199
17.592325,19.265844
92.715546,76.717506
16.809097,18.582716
15.361219,16.952105
12.775593,14.237230
11.689195,13.084823
10.242579,11.677443
8.517516,9.906360
8.876429,13.745317
17.237379,25.492178
3.719583,3.995801
3.460342,3.669413
3.286656,3.489965
3.176142,3.375973
3.000607,3.205013
2.094596,1.953323
1.683106,1.854943
1.678502,1.849149
1.669176,1.840949
1.659994,1.833518
1.653447,1.827648
1.645841,1.823783
1.674008,1.894324
1.628372,1.809042
1.687253,1.799871
57.544296,87.103111
1.550513,1.726479
1.513447,1.689453
1.747612,1.858101
1.153816,1.220852
1.905854,1.172761
1.086883,1.138145
1.110855,1.167637
1.082304,1.126795
1.082435,1.124816
2.449876,3.481519
1.080932,1.124937
1.082499,1.125276
45.909008,73.945076
1.082117,1.128062
17.425602,28.666714
1.088730,1.127858
11.998787,15.398108
1.081089,1.128206
