# best iteration: (array([37]),)
12752788.000000,7506246.500000
30.102266,25.616777
20.928980,17.892570
18.747068,16.109169
18.337851,15.800261
18.084225,15.579539
17.718647,15.257379
16.317074,14.269255
14.742323,13.183555
13.602996,12.254595
12.729104,11.511556
87.092979,72.850349
10.796022,9.850067
10.097093,9.255171
8.956940,8.279469
7.027202,6.671095
4.444610,4.549045
3.441547,3.644423
3.169223,3.391922
3.180038,3.422485
2.762370,2.842088
14.668733,21.472542
1.788960,1.424704
1.720197,1.308643
2.067749,2.038208
44.872158,14.744049
1.616272,1.286548
2.117410,2.188474
1.396641,1.245194
1.299908,1.443496
1.102608,1.127295
1.093349,1.119169
6.060655,3.720315
1.086348,1.112273
5.831799,9.332720
1.081895,1.108424
1.080556,1.107430
1.078063,1.107154
1.077596,1.107302
1.077868,1.107650
4.220558,21.706064
1.078495,1.108707
1.707299,1.348534
1.634245,1.306195
15.976185,26.661337
1.513752,1.298894
1.123838,1.161888
1.780135,4.039781
1.107175,1.180797
