# best iteration: (array([43]),)
1196680.750000,8316.505859
20.620789,17.190599
18.798416,15.860309
17.800900,15.181717
19.147646,15.392705
17.082270,14.726246
15.709580,13.718208
14.123043,12.628556
12.886865,11.627009
12.406898,11.249207
11.200501,10.249342
214.862320,584.458496
7.207359,6.532441
8.296496,6.427677
2.500660,2.088916
1.951324,1.592733
3.670010,2.591514
6.526649,13.537676
1.601943,1.297166
1.542391,1.283040
1.407660,1.300975
1.188873,1.168999
1.229010,1.213863
2.911230,6.014786
1.244504,1.213799
1.094780,1.107205
1.090371,1.105975
1.091902,1.106280
1.247320,1.340067
1.086582,1.110455
1.083132,1.102115
1.081149,1.101511
1.121235,1.139678
1.079420,1.101339
1.078440,1.101035
1.078768,1.101370
1.159113,3.591994
1.079219,1.100110
1.077922,1.099820
1.336956,1.705094
1.077130,1.098344
1.111379,1.167468
1.080132,1.134494
1.075175,1.097082
3.431034,2.013138
1.074561,1.097217
3.055109,1.971745
1.073004,1.098395
35.513096,38.465355
1.070952,1.098333
