# Chi2_train, Chi2_test
24177.466797,14647.133789
2.818833,5.376037
2.685951,5.152913
2.563869,4.971526
2.444115,4.741118
2.222022,4.356680
1.834403,3.392071
1.490300,2.431336
2.908977,1.915843
1.122460,1.384715
